id,cost,talktime,validity,comments
16075,2,,2 days,All Local calls@25p/min
16076,4,,3 days,12 Local Mins
16077,8,,28 days,Local Telenor to Telenor Calls @ 10p/min
16078,15,,28 days,All Local calls @ 25p/min
16079,16,,3 days,40 Local & STD mins
16080,26,,7 days,60 Local mins
16081,27,,28 days,All Local + STD calls @25 P/Min
16082,31,,14 days,400 Local Telenor to Telenor mins
16083,32,,21 days,600 Local Telenor to Telenor mins -- Peak hour charging from 5pm to 10 pm Local Telenor to Telenor calls @20p/min
16084,33,,90 days,All Local calls @ 25p/min
16085,35,,28 days,"Local Telenor to Telenor Calls @10P/Min,Local Telenor to others @25P/Min and All STD Calls @30P/Min"
16086,36,,7 days,100 Local and STD Mins
16087,42,,56 days,All Local/STD calls@20p/min
16088,45,,14 days,125 Local Telenor to Telenor mins and 125 Local Telenor to others mins
16089,46,,28 days,500 min Local Telenor to Telenor
16090,51,,7 days,Unlimited Local Telenor to Telenor calls
16091,55,,21 days,130 Min All Local Calls
16092,62,,21 days,165 Min All local calls 
16093,66,,21 days,1000 min Local Telenor to Telenor
16094,72,,90 days,"Local Telenor to Telenor @10P/Min, Local Telenor to Other @25P/Min and STD @30P/Min"
16095,73,,10 days,Unlimited Local Telenor to Telenor call
16096,74,,21 days,200 Local & STD mins  Free
16097,76,,28 days,1200 Local Telenor to Telenor mins
16098,97,,21 days,300 Local Telenor to others mins and 550 Local Telenor to Telenor Mins
16099,98,,28 days,Unlimited Local Telenor to Telenor calls
16100,99,,21 days,300 Local +National min
16101,115,,28 days,350 Local Telenor to others + 350 Local Telenor to Telenor
16102,121,,28 days,Unlimited Local & STD Telenor to Telenor Calls + 121 Local/National minutes
16103,147,,14 days,Unlimited Local & STD Telenor to Telenor Free* Local/STD Telenor to other. (*100 Telenor to other min/day or 500 Telenor to other minutes in a week. Post that fixed tariff of 25p/min for Telenor to other calls will apply for the remainder of day/week)
16104,148,,28 days,475 Local Telenor to other+ 475 Local Telenor to Telenor minutes
16105,149,,28 days,All Local calls @25p/m + All STD calls @30p/m -- 1 GB 4G Data
16106,197,,28 days,1000 mins Local Telenor to Telenor and 1000 mins Local Telenor to others
16107,211,,28 days,Unlimited Local Telenor to Telenor & 500 Local Telenor to others mins
16108,219,,28 days,All local calls @25p/m + All STD calls @30p/m -- 2 GB 4G Data
16109,221,,28 days,2000 Local Telenor to Telenor mins and 800 Local Telenor to others mins
16110,249,,28 days,500 Local/STD Mins -- 1 GB 4G Data
16111,319,,28 days,500 Local/STD Mins -- 2 GB 4G Data
16112,322,,90 days,Unlimited Local Telenor to Telenor calls
16113,777,,28 days,First 3000 Local & STD mins free and then @ 30P/min
