id,cost,talktime,validity,short description,long description
6406,12,,7 days,Recharge of Rs. 12 by BSNL,FREE SMS 130
6407,21,,15 days,Recharge of Rs. 21 by BSNL,265 Local/National SMS Any Network -- Upto 100 SMS/day only. Beyond that all SMS charged at 50p/SMS or base SMS tariff whichever is higher.
6408,31,,30 days,Recharge of Rs. 31 by BSNL,385 Local/National SMS Any Network -- Upto 100 SMS/day only. Beyond that all SMS charged at 50p/SMS or base SMS tariff whichever is higher.
6409,52,,30 days,Recharge of Rs. 52 by BSNL,FREE SMS 860
6410,53,,30 days,Recharge of Rs. 53 by BSNL,Free onnet SMS 100 nos and Off Net SMS 13p sms.STV features are available for maximum 100 nos of SMS day and in National roaming also but in BSNL network only.Maximum SMS limit is 200 nos. day.
6411,83,,30 days,Recharge of Rs. 83 by BSNL,1650 Local/National SMS Any Network -- Upto 100 SMS/day only. Beyond that all SMS charged at 50p/SMS or base SMS tariff whichever is higher.
6413,147,,60 days,Recharge of Rs. 147 by BSNL,3000 Local/National SMS Any Network -- Upto 100 SMS/day only. Beyond that all SMS charged at 50p/SMS or base SMS tariff whichever is higher.
