id,cost,talktime,validity,short description,long description
86,6,,28 days,Recharge of Rs. 6 by Aircel,Loc/STD A-A calls @ 10P/min
87,8,,28 days,Recharge of Rs. 8 by Aircel,Local & STD mobile calls @ 1P/2sec
88,11,,28 days,Recharge of Rs. 11 by Aircel,Local & STD mobile calls @ 25P/min
89,12,,28 days,Recharge of Rs. 12 by Aircel,All Local & Other STD Calls @ 25p/min -- STD A-A Calls @ 10p/min
90,13,,1 day,Recharge of Rs. 13 by Aircel,Unlimited Local & STD Calls (T & C)
91,19,,5 days,Recharge of Rs. 19 by Aircel,Unlimited Local A2A
92,28,,28 days,Recharge of Rs. 28 by Aircel,Local & STD Mobile Calls @ 1p/2sec
93,29,,28 days,Recharge of Rs. 29 by Aircel,All Local & Other STD Calls @ 25p/min + STD A-A Calls @ 10p/min for 28 Days
94,34,,56 days,Recharge of Rs. 34 by Aircel,Local Mobile calls @ 1p/2sec
95,42,,14 days,Recharge of Rs. 42 by Aircel,Unlimited Local A2A
96,43,,28 days,Recharge of Rs. 43 by Aircel,Local & STD A-A calls @ 10p/min -- Local & STD Other calls @ 1p/2sec
97,53,,90 days,Recharge of Rs. 53 by Aircel,A2A Local & STD is @ 15p/min
98,59,,7 days,Recharge of Rs. 59 by Aircel,Unlimited Local & STD A-A Calls
99,62,,84 days,Recharge of Rs. 62 by Aircel,Local & STD Aircel-Aircel Calls @10p/min 
100,63,,84 days,Recharge of Rs. 63 by Aircel,Local/STD Mobile calls @ 1p/2sec
101,64,,28 days,Recharge of Rs. 64 by Aircel,Unlimited Local A2A calls
102,66,,84 days,Recharge of Rs. 66 by Aircel,Local/STD Mobile calls @ 25ps/min
103,84,,28 days,Recharge of Rs. 84 by Aircel,Unlimited Local & STD A-A Calls + Other Local & STD Calls @ 20p/min
104,112,,84 days,Recharge of Rs. 112 by Aircel,Local & STD A-A calls @ 10p/min & Local & STD Other calls @ 1p/2sec
105,135,,30 days,Recharge of Rs. 135 by Aircel,120000 Local A2A seconds + 15000 Local & STD seconds
106,152,,1 day,Recharge of Rs. 152 by Aircel,Unlimited Local & STD Calls(T & C)
107,169,,84 days,Recharge of Rs. 169 by Aircel,Unlimited Local A2A Calls
108,194,,28 days,Recharge of Rs. 194 by Aircel,Unlimited Local & STD A-A Calls
109,251,,28 days,Recharge of Rs. 251 by Aircel,UL Calls (T & C)
