id,cost,talktime,validity,short description,long description
12771,7,,1 day,Recharge of Rs. 7 by RelianceGSM,"R - R (Local & STD) @10p/Min, R - Others (Local & STD) @25p/Min"
12772,8,,2 days,Recharge of Rs. 8 by RelianceGSM,"Local Reliance to Reliance calls @ 15p/min, Local Other Network calls and STD calls @ 35p/min"
12773,13,,3 days,Recharge of Rs. 13 by RelianceGSM,"Local Reliance to Reliance calls @ 15p/min, Local Other Network calls and STD calls @ 35p/min"
12774,21,,21 days,Recharge of Rs. 21 by RelianceGSM,All Local Mobile calls @ 30p/Min
12775,26,,2 days,Recharge of Rs. 26 by RelianceGSM,All Local and STD reliance calls @5p/min
12776,28,,21 days,Recharge of Rs. 28 by RelianceGSM,All Local calls @ 35p/min
12777,33,,60 days,Recharge of Rs. 33 by RelianceGSM,All Local & STD Reliance calls at 15p/min
12778,37,,28 days,Recharge of Rs. 37 by RelianceGSM,All Local & STD Mobile calls @ 30p/Min
12779,43,,28 days,Recharge of Rs. 43 by RelianceGSM,All Local & STD Reliance mobile calls at 10p/min + Other Local & STD mobile calls at 30p/min
12780,64,,15 days,Recharge of Rs. 64 by RelianceGSM,Free Local Reliance to Reliance mobile calls capped at 42000 secs & post free mins 1p/6sec
12781,74,,60 days,Recharge of Rs. 74 by RelianceGSM,All Local & STD Calls @ 25p 
12782,84,,7 days,Recharge of Rs. 84 by RelianceGSM,Unlimited Local & STD Onnet in home and roaming Unlimited Local & STD Offnet landline in home and roaming 30 min/day Local & STD Offnet mobile in home and roaming Incoming roaming Free
12783,89,,7 days,Recharge of Rs. 89 by RelianceGSM,All Local and STD reliance calls @5p/min
12784,98,,30 days,Recharge of Rs. 98 by RelianceGSM,400 Local and STD Minutes FREE
12785,107,,90 days,Recharge of Rs. 107 by RelianceGSM,All Local Reliance calls at 20p/min + Other Local & STD calls at 30p/min
12786,126,,90 days,Recharge of Rs. 126 by RelianceGSM,All Local Reliance calls at 10p/min + Other Local & STD calls at 30p/min
12787,198,,28 days,Recharge of Rs. 198 by RelianceGSM,500 Minutes Local Reliance to Reliance calls (30000s) + 500 minutes other local calls (30000s)
12788,295,,28 days,Recharge of Rs. 295 by RelianceGSM,Unlimited Local & STD Onnet in home and roaming Unlimited Local & STD Offnet landline in home and roaming @30 min/day Local & STD Offnet mobile in home and roaming Incoming roaming Free 
12789,325,,28 days,Recharge of Rs. 325 by RelianceGSM,Unlimited Local & STD Onnet in home and roaming Unlimited Local & STD Offnet landline in home and roaming @30 min/day Local & STD Offnet mobile in home and roaming Incoming roaming Free 
