id,cost,talktime,validity,short description,long description
12764,45,,7 days,Recharge of Rs. 45 by RelianceGSM,150 MB 3G Data -- Local Calls @ 30p & STD @ 75P
12765,95,,10 days,Recharge of Rs. 95 by RelianceGSM,400 MB 3G Data -- Local Calls @ 30p & STD @ 75P
12766,127,,14 days,Recharge of Rs. 127 by RelianceGSM,400 MB 3G Data -- All calls @ 30p/min (Local & STD)
12767,199,,21 days,Recharge of Rs. 199 by RelianceGSM,850 MB 3G Data -- Local Calls @ 30p & STD @ 75P
12768,225,,28 days,Recharge of Rs. 225 by RelianceGSM,1 GB 3G Data -- Local Calls @ 30p & STD @ 75P
12769,239,,28 days,Recharge of Rs. 239 by RelianceGSM,1 GB 3G Data -- All calls @ 30p/min (Local & STD)
12770,249,,28 days,Recharge of Rs. 249 by RelianceGSM,Bundled 1.25 GB 3G Data -- Hungama Play Subscription free - worth Rs 200
