id,cost,talktime,validity,comments
18405,150,150,N.A,Talktime of Rs. 150 for Rs. 150 recharge by Vodafone
18406,200,200,N.A,Talktime of Rs. 200 for Rs. 200 recharge by Vodafone
18407,230,230,N.A,Talktime of Rs. 230 for Rs. 230 recharge by Vodafone
18408,300,300,N.A,Talktime of Rs. 300 for Rs. 300 recharge by Vodafone
18409,350,350,N.A,Talktime of Rs. 350 for Rs. 350 recharge by Vodafone
18410,450,450,N.A,Talktime of Rs. 450 for Rs. 450 recharge by Vodafone
18411,500,500,N.A,Talktime of Rs. 500 for Rs. 500 recharge by Vodafone
18412,750,750,N.A,Talktime of Rs. 750 for Rs. 750 recharge by Vodafone
18413,1000,1000,N.A,Talktime of Rs. 1000 for Rs. 1000 recharge by Vodafone
