id,cost,talktime,validity,short description,long description
16209,10,7.47,N.A,Recharge of Rs. 10 by Vodafone,Talktime of Rs. 7.47 for Rs. 10 recharge by Vodafone
16210,20,14.95,N.A,Recharge of Rs. 20 by Vodafone,Talktime of Rs. 14.95 for Rs. 20 recharge by Vodafone
16211,30,22.42,N.A,Recharge of Rs. 30 by Vodafone,Talktime of Rs. 22.42 for Rs. 30 recharge by Vodafone
16212,40,30.9,N.A,Recharge of Rs. 40 by Vodafone,Talktime of Rs. 30.9 for Rs. 40 recharge by Vodafone
16213,50,39.37,N.A,Recharge of Rs. 50 by Vodafone,Talktime of Rs. 39.37 for Rs. 50 recharge by Vodafone
16214,60,47.85,N.A,Recharge of Rs. 60 by Vodafone,Talktime between Rs.47.85 with lifetime validity
16215,70,56.32,N.A,Recharge of Rs. 70 by Vodafone,Talktime of Rs. 56.32 for Rs. 70 recharge by Vodafone
16216,100,81.75,N.A,Recharge of Rs. 100 by Vodafone,Talktime of Rs. 81.75 for Rs. 100 recharge by Vodafone
16217,110,105,N.A,Recharge of Rs. 110 by Vodafone,Talktime of Rs. 105 for Rs. 110 recharge by Vodafone
16218,130,107.17,N.A,Recharge of Rs. 130 by Vodafone,Talktime of Rs. 107.17 for Rs. 130 recharge by Vodafone
16219,140,115.64,N.A,Recharge of Rs. 140 by Vodafone,Talktime of Rs. 115.64 for Rs. 140 recharge by Vodafone
16220,150,124.12,N.A,Recharge of Rs. 150 by Vodafone,Talktime of Rs. 124.12 for Rs. 150 recharge by Vodafone
16221,180,170,N.A,Recharge of Rs. 180 by Vodafone,Talktime of Rs. 170 for Rs. 180 recharge by Vodafone
16222,200,190,N.A,Recharge of Rs. 200 by Vodafone,Talktime of Rs. 190 for Rs. 200 recharge by Vodafone
