id,cost,talktime,validity,short description,long description
16273,7,,1 hour,Recharge of Rs. 7 by Vodafone,Unlimited V2V Local 
16274,9,,1 day,Recharge of Rs. 9 by Vodafone,Unlimited Local V2V calls + 1p/s other local calls 
16275,26,,14 days,Recharge of Rs. 26 by Vodafone,Local mobile calls @ 1.2p/2s
16276,29,,28 days,Recharge of Rs. 29 by Vodafone,Local Vodafone Calls @10p/min
16277,41,,28 days,Recharge of Rs. 41 by Vodafone,Local mobile calls @ 1.2p/2s
16278,49,,7 days,Recharge of Rs. 49 by Vodafone,5100 local seconds
16279,56,,30 days,Recharge of Rs. 56 by Vodafone,"All outgoing mobile calls (Local,STD&Roaming)@1p/sec. Free incoming calls while on roaming. Pack tariff benefits applicable across India. "
16280,57,,28 days,Recharge of Rs. 57 by Vodafone,All India mobile calls @1.2p/2secs 
16281,59,,56 days,Recharge of Rs. 59 by Vodafone,Local Vodafone Calls @10p/min
16282,78,,56 days,Recharge of Rs. 78 by Vodafone,Local mobile calls @1.2p/2secs
16283,107,,14 days,Recharge of Rs. 107 by Vodafone,"14,000 local seconds"
16284,109,,15 days,Recharge of Rs. 109 by Vodafone,"10,000 local & STD Seconds"
16285,168,,90 days,Recharge of Rs. 168 by Vodafone,All India mobile calls @1.2p/2secs
16286,201,,20 days,Recharge of Rs. 201 by Vodafone,22500 local & STD seconds
16287,204,,28 days,Recharge of Rs. 204 by Vodafone,36000 local mobile seconds
16288,399,,28 days,Recharge of Rs. 399 by Vodafone,"51,000 local seconds"
