id,cost,talktime,validity,short description,long description
4849,29,,180 days,Recharge of Rs. 29 by BSNL,Plan: Nestham
4850,36,,180 days,Recharge of Rs. 36 by BSNL,Plan: Per_Second_plan
4851,37,,180 days,Recharge of Rs. 37 by BSNL,Plan: Per_Minute_plan
4852,61,,180 days,Recharge of Rs. 61 by BSNL,AMULYA_61_migration
4853,75,,180 days,Recharge of Rs. 75 by BSNL,Plan: Pyari_Jodi
4854,96,,365 days,Recharge of Rs. 96 by BSNL,Plan: Data_Plan_96
4855,97,,90 days,Recharge of Rs. 97 by BSNL,No SMS charges of Local SMS at 10p per SMS and STD SMS at 50p per SMS are not restricted to FF members only but applicalble to all
4856,101,,30 days,Recharge of Rs. 101 by BSNL,Jai_Jawan_migration
4857,136,,730 days,Recharge of Rs. 136 by BSNL,Freedom_136_migration -- For new connections(including MNP customers) only
4858,199,,180 days,Recharge of Rs. 199 by BSNL,Plan: RTP_FR_199
4859,666,,180 days,Recharge of Rs. 666 by BSNL,"PV-666 BSNL SIXER: Unlimited data (Speed reduced to 80 Kbps after 2GB/day) + Unlimited voice calls for 60 days. -- After 60 days: ALL calls (Local/STD) (On-net/Off-net) @ 50 Paisa/Minute -- SMS (while in Home & National Roaming): Local @25 Paisa/SMS, National @35 Paisa/SMS -- All other charges As per Per Minute plan"
