id,cost,talktime,validity,short description,long description
7964,94,,90 days,Recharge of Rs. 94 by Docomo,"Local On-Net mobile calls @ 10 p/min -- Local Off-Net mobile calls @ 30 p/min -- Not applicable in Sirsa, Fatehabad & other ICR locations."
7965,101,,21 days,Recharge of Rs. 101 by Docomo,350 Local + STD Mins
7966,103,,28 days,Recharge of Rs. 103 by Docomo,3000 Local & STD Onnet Mins
7967,108,,10 days,Recharge of Rs. 108 by Docomo,Unlimited Local On-Net mobile calls
7968,123,,28 days,Recharge of Rs. 123 by Docomo,Unlimited Local & STD Onnet Calls
7969,125,,28 days,Recharge of Rs. 125 by Docomo,300 Local Mins
7970,148,,14 days,Recharge of Rs. 148 by Docomo,"750 mins of usage for Local & STD calls, post 750 mins Local & STD calls @ 30p/m"
7971,158,,28 days,Recharge of Rs. 158 by Docomo,500 Local + STD Mins
7972,163,,28 days,Recharge of Rs. 163 by Docomo,Unlimited Local On-Net mobile calls from 11pm to 5pm Local (On-Net mobile calls @ 1.6p/ sec. from 5pm to 11pm) -- Local Off-Net mobile calls @ 1.6p/ sec -- STD On-Net mobile calls @ 1.6p/ sec -- STD Off-Net mobile calls @ 1.6p/ sec -- Not applicable in Sirsa/ Fatehabad & Panipat.
7973,195,,28 days,Recharge of Rs. 195 by Docomo,2200 Local On-Net Mins -- Not applicable in Sirsa/ Fatehabad & Panipat.
7974,196,,28 days,Recharge of Rs. 196 by Docomo,500 Local Mins 
7975,199,,28 days,Recharge of Rs. 199 by Docomo,650 Local + STD Mins
7976,246,,28 days,Recharge of Rs. 246 by Docomo,"1200 mins of usage for Local & STD calls, post 1200 mins Local & STD calls @ 30p/m"
7977,248,,28 days,Recharge of Rs. 248 by Docomo,Local On-Net mobile calls @ Unlimited -- STD On-Net mobile calls @ 10 p/m
7978,298,,28 days,Recharge of Rs. 298 by Docomo,"1500 mins of usage for Local & STD calls, post 1500 mins Local & STD calls @ 30p/m "
7979,666,,28 days,Recharge of Rs. 666 by Docomo,2500 Local minutes to any Network @ 0p/ sec. After 2500 mins. Local calls @ 1.5p/ sec.
