id,cost,talktime,validity,short description,long description
15677,10,7.48,N.A,Recharge of Rs. 10 by Indicom,Talktime of Rs. 7.48 for Rs. 10 recharge by Tata Indicom
15678,20,14.94,N.A,Recharge of Rs. 20 by Indicom,Talktime of Rs. 14.94 for Rs. 20 recharge by Tata Indicom
15679,30,22.42,N.A,Recharge of Rs. 30 by Indicom,Talktime of Rs. 22.42 for Rs. 30 recharge by Tata Indicom
15680,40,38,N.A,Recharge of Rs. 40 by Indicom,Talktime of Rs. 38 for Rs. 40 recharge by Tata Indicom
15681,50,39.38,N.A,Recharge of Rs. 50 by Indicom,Talktime of Rs. 39.38 for Rs. 50 recharge by Tata Indicom
15682,70,56.32,N.A,Recharge of Rs. 70 by Indicom,Talktime of Rs. 56.32 for Rs. 70 recharge by Tata Indicom
15683,90,73.28,N.A,Recharge of Rs. 90 by Indicom,Talktime of Rs. 73.28 for Rs. 90 recharge by Tata Indicom
15684,100,81.74,N.A,Recharge of Rs. 100 by Indicom,Talktime of Rs. 81.74 for Rs. 100 recharge by Tata Indicom
15685,110,90.22,N.A,Recharge of Rs. 110 by Indicom,Talktime of Rs. 90.22 for Rs. 110 recharge by Tata Indicom
15686,130,110.54,N.A,Recharge of Rs. 130 by Indicom,Talktime of Rs. 110.54 for Rs. 130 recharge by Tata Indicom
