id,cost,talktime,validity,short description,long description
564,6,,2 days,Recharge of Rs. 6 by Aircel,15 Local/STD Minutes
565,18,,1 day,Recharge of Rs. 18 by Aircel,100Mins Local/STD calls to Any network
566,19,,28 days,Recharge of Rs. 19 by Aircel,ALL Local+STD @25p/Min
567,32,,90 days,Recharge of Rs. 32 by Aircel,Local/STD mobile calls at 1.2p/2sec. First 120 secs/day at 2p/sec
568,34,,60 days,Recharge of Rs. 34 by Aircel,All Local mobile calls at 1p/2sec
569,36,,28 days,Recharge of Rs. 36 by Aircel,All India A-A calls @ 20p/min(Home & Roam -Both) -- 
570,38,,21 days,Recharge of Rs. 38 by Aircel,1 lakh local Aircel to Aircel seconds. (First 120 local A-A secs/day to be charged at 2 p/s)
571,43,,28 days,Recharge of Rs. 43 by Aircel,Local & STD Aircel calls @ 10p/m. Other calls 25p/m.
572,47,,120 days,Recharge of Rs. 47 by Aircel,Local Mobile Calls to any network at 1.2p/2sec
573,56,,28 days,Recharge of Rs. 56 by Aircel,All India A-A calls @ 15p/min(Home & Roam -Both)
574,58,,14 days,Recharge of Rs. 58 by Aircel,11000 Local Secs
575,59,,90 days,Recharge of Rs. 59 by Aircel,All calls @20p 
576,66,,28 days,Recharge of Rs. 66 by Aircel,"1,00,000 Local A-A Seconds"
577,89,,90 days,Recharge of Rs. 89 by Aircel,All India mobile calls at 1p/2sec
