id,cost,talktime,validity,comments
15564,5,,1 day,25 MB data
15565,12,,3 days,75 MB data
15566,48,,10 days,250 MB data
15567,95,,30 days,500 MB data
15568,126,,30 days,1 GB data
15569,256,,30 days,2 GB data
