id,cost,talktime,validity,short description,long description
14411,8,,2 days,Recharge of Rs. 8 by RelianceGSM,Local Reliance calls @15p/min and other Local and STD voice calls @30p/min
14412,13,,3 days,Recharge of Rs. 13 by RelianceGSM,Local Reliance calls at 15p/min and other Local and STD voice calls at 30p/min
14413,17,,28 days,Recharge of Rs. 17 by RelianceGSM,Local Onnet calls @ 10p/min
14414,19,,28 days,Recharge of Rs. 19 by RelianceGSM,All Local Mobile calls @ 30p/min
14415,27,,90 days,Recharge of Rs. 27 by RelianceGSM,Local Onnet calls @ 15p/min
14416,36,,90 days,Recharge of Rs. 36 by RelianceGSM,All Local & STD Calls @30p min
14417,37,,5 days,Recharge of Rs. 37 by RelianceGSM,4200 All calls sec
14418,42,,21 days,Recharge of Rs. 42 by RelianceGSM,6000 Local secs
14419,46,,28 days,Recharge of Rs. 46 by RelianceGSM,All local mobile calls @ 25p/min
14420,83,,90 days,Recharge of Rs. 83 by RelianceGSM,All Local mobile calls @ 25p/min
14421,149,,28 days,Recharge of Rs. 149 by RelianceGSM,Unlimited Free Calls on Local Onnet mobile and 500 onnet STD mobile minutes. ( Applicable for customers with AON less than 120 days only)
14422,159,,28 days,Recharge of Rs. 159 by RelianceGSM,24000 Sec(L+STD)
