id,cost,talktime,validity,comments
15491,23,,30 days,Local/STD Mobile calls @ 35p/min (min pulse)
15492,29,,30 days,"Local/STD Mobile calls @ 36p/min (sec pulse, 1.2p/2s)"
15493,53,,90 days,Local/STD Mobile calls @ 35p/min (min pulse)
15494,85,,180 days,"Local/STD Mobile calls @ 36p/min (sec pulse, 1.2p/2s)"
15495,99,,28 days,180000 Local On-Net Secs
15496,199,,28 days,40320 Local On-Net Secs
15497,299,,28 days,Unlimited Local On-Net Mins
