id,cost,talktime,validity,short description,long description
7999,150,150,N.A,Recharge of Rs. 150 by Docomo,Talktime of Rs. 150 for Rs. 150 recharge by Tata DOCOMO
8000,200,200,N.A,Recharge of Rs. 200 by Docomo,Talktime of Rs. 200 for Rs. 200 recharge by Tata DOCOMO
8001,300,300,N.A,Recharge of Rs. 300 by Docomo,Talktime of Rs. 300 for Rs. 300 recharge by Tata DOCOMO
8002,400,400,N.A,Recharge of Rs. 400 by Docomo,Talktime of Rs. 400 for Rs. 400 recharge by Tata DOCOMO
8003,500,500,N.A,Recharge of Rs. 500 by Docomo,Talktime of Rs. 500 for Rs. 500 recharge by Tata DOCOMO
8004,600,600,N.A,Recharge of Rs. 600 by Docomo,Talktime of Rs. 600 for Rs. 600 recharge by Tata DOCOMO
8005,700,700,N.A,Recharge of Rs. 700 by Docomo,Talktime of Rs. 700 for Rs. 700 recharge by Tata DOCOMO
8006,800,800,N.A,Recharge of Rs. 800 by Docomo,Talktime of Rs. 800 for Rs. 800 recharge by Tata DOCOMO
8007,900,900,N.A,Recharge of Rs. 900 by Docomo,Talktime of Rs. 900 for Rs. 900 recharge by Tata DOCOMO
8008,1000,1000,N.A,Recharge of Rs. 1000 by Docomo,Talktime of Rs. 1000 for Rs. 1000 recharge by Tata DOCOMO
8009,1500,1500,N.A,Recharge of Rs. 1500 by Docomo,Talktime of Rs. 1500 for Rs. 1500 recharge by Tata DOCOMO
8010,2000,2000,N.A,Recharge of Rs. 2000 by Docomo,Talktime of Rs. 2000 for Rs. 2000 recharge by Tata DOCOMO
