id,cost,talktime,validity,short description,long description
18643,21,,7 days,Recharge of Rs. 21 by Vodafone,Local mobile calls @30p/min 
18644,26,,7 days,Recharge of Rs. 26 by Vodafone,All Local Calls @ 30paise/min
18645,28,,56 days,Recharge of Rs. 28 by Vodafone,Local + STD Calls @ 1paise/sec
18646,35,,5 days,Recharge of Rs. 35 by Vodafone,55 Local+STD Mins
18647,36,,28 days,Recharge of Rs. 36 by Vodafone,Local + STD 30p/min 
18648,41,,28 days,Recharge of Rs. 41 by Vodafone,Local V2V @10p/min
18649,44,,45 days,Recharge of Rs. 44 by Vodafone,All local mobile calls @30 paisa/per minute. First 120 seconds of the day will be charged@2 paisa/per second
18650,54,,7 days,Recharge of Rs. 54 by Vodafone,Unlimited V2V (L+S)
18651,64,,28 days,Recharge of Rs. 64 by Vodafone,95 Free Mins for Local + STD +Roaming Outgoing (National)
18652,66,,56 days,Recharge of Rs. 66 by Vodafone,All local mobile calls @ 35p/min
18653,69,,56 days,Recharge of Rs. 69 by Vodafone,Vodafone to Vodafone Local Call @ 10p/min (1st 180 sec of the day @2p/sec)
18654,75,,28 days,Recharge of Rs. 75 by Vodafone,All local V2V calls@10p/m
18655,78,,28 days,Recharge of Rs. 78 by Vodafone,Vodafone to Vodafone Local Call @ 20p/min
18656,79,,56 days,Recharge of Rs. 79 by Vodafone,All Local mobile calls @ 30paise/min
18657,96,,21 days,Recharge of Rs. 96 by Vodafone,225 Local minutes
18658,118,,35 days,Recharge of Rs. 118 by Vodafone,Local V2V calls @20 p/min & V2O calls @30 p/min -- All STD mobile calls @50 p/min
18659,119,,14 days,Recharge of Rs. 119 by Vodafone,230 local mobile minutes
18660,121,,35 days,Recharge of Rs. 121 by Vodafone,Local Vodafone to Vodafone calls @ 10 p/min
18661,195,,28 days,Recharge of Rs. 195 by Vodafone,300 Free Mins for Local + STD + Roaming Outgoing (National)
18662,197,,28 days,Recharge of Rs. 197 by Vodafone,500 Local Mobile Mints
18663,205,,28 days,Recharge of Rs. 205 by Vodafone,750 Local mins-Vodafone to Vodafone
18664,219,,28 days,Recharge of Rs. 219 by Vodafone,490 Local+STD Mins
