id,cost,talktime,validity,comments
12116,18,,14 days,"200 Local/ National SMS. Post Free SMS, local SMS will be charged at Re.1 and National SMS @ Rs1.5 -- Recharge valid for all plans except PCO, PCOREP, Coin box & Data Card."
12117,26,,28 days,"300 Local/National SMS. Post Free SMS, local SMS will be charged at Re.1 and National SMS at Rs1.5 -- Recharge valid for all plans except PCO, PCOREP, Coin box & Data Card."
12118,37,,28 days,"400 Local/National SMS. Post Free SMS, local SMS will be charged at Re.1 and National SMS at Rs1.5 -- Recharge valid for all plans except PCO, PCOREP, Coin box & Data Card."
