id,cost,talktime,validity,short description,long description
9547,5,,1 day,Recharge of Rs. 5 by Idea,"Roaming Outgoing Local+STD Calls 60 Paisa/Min; SMS Local 25p, SMS STD 38p & International SMS Rs5. Applicable only onto Idea Network -- "
9548,16,,7 days,Recharge of Rs. 16 by Idea,"Roaming Outgoing Local+STD Calls 60 Paisa/Min; SMS Local 25p, SMS STD 38p & International SMS Rs5. Applicable only onto Idea Network -- "
9549,38,,28 days,Recharge of Rs. 38 by Idea,"Roaming Outgoing Local+STD Calls 50 Paisa/Min; SMS Local 25p, SMS STD 38p & International SMS Rs5. Applicable only onto Idea Network  -- "
9550,71,,48 days,Recharge of Rs. 71 by Idea,"Roaming Outgoing Local+STD Calls 50 Paisa/Min; SMS Local 25p, SMS STD 38p & International SMS Rs5. Applicable only onto Idea Network"
