id,cost,talktime,validity,comments
1815,7,,27 days,All local and STD mobile calls @1p/sec
1816,8,,2 days,All local mobile calls @30p/min
1817,12,,27 days,All local mobile calls @30p/min
1818,13,,4 days,All local mobile calls @30p/min
1819,15,,1 day,3500 sec local Airtel to Airtel mobile
1820,16,,5 days,All local airtel mobile calls @20p/min
1821,22,,54 days,local mobile calls @30p/min 
1822,24,,5 days,All local airtel mobile calls @10p/min
1823,26,,27 days,loc airtel mob calls @ 20p/min
1824,36,,27 days,local airtel mobile calls @10p/min
1825,38,,8 days,All local + STD mobile @30p/min
1826,39,,84 days,All local mobile calls @30p/min
1827,43,,45 days,All local airtel mobile @20p/min
1828,55,,8 days,4000 local and STD mobile seconds
1829,56,,27 days,All local mobile calls at 25p/min
1830,153,,2 days,Local + STD on all mobile & landline calls
1831,199,,4 days,Unlimited Local all calls
1832,249,,3 days,Free Local + STD calls (mobile and landline) 
1833,295,,56 days,Local & STD free A2A calls 
1834,297,,4 days,Local + STD on all mobile & landline calls
1835,345,,60 days,Local & STD free A2A calls
1836,395,,75 days,Local & STD free A2A calls
1837,545,,90 days,Local & STD free A2A calls
