id,cost,talktime,validity,comments
10205,5,,4 days,50 Local/National SMS
10206,14,,10 days,200 Local/National SMS
10207,33,,28 days,360 Local/National SMS
10208,54,,28 days,600 Local/National SMS
10209,63,,28 days,100 Local/National SMS Free/Day
10210,78,,28 days,900 Local/National SMS
