cost,minutes,validity,comments
9,21.67,1,1300 Local & STD seconds-Choice Recharge
19,50,2,3000 Local & STD seconds- Choice Recharge
39,47.5,7,2850 Local/STD Secs
89,100,10,6000 Local/STD Secs
199,583.33,28,35000 Local/STD Secs
259,850,28,51000 Local/STD Secs
