id,cost,talktime,validity,short description,long description
10359,14,,2 days,Recharge of Rs. 14 by Idea,80 MB Data -- Overage: 4p/10 KB
10360,24,,28 days,Recharge of Rs. 24 by Idea,250 MB 4G/2G Data -- Overage: 4p/10kb
10361,26,,4 days,Recharge of Rs. 26 by Idea,150 MB Data -- Overage: 4p/10 KB
10363,37,,4 days,Recharge of Rs. 37 by Idea,210 MB Data -- Overage: 4p/10 KB
10364,38,,28 days,Recharge of Rs. 38 by Idea,125 MB 2G Data -- Overage: 4p/10 KB 
10365,46,,28 days,Recharge of Rs. 46 by Idea,500 MB 4G/2G Data -- Overage: 4p/10kb
10366,56,,2 days,Recharge of Rs. 56 by Idea,1 GB 4G/2G Data -- Overage: 4p/10KB
10367,58,,7 days,Recharge of Rs. 58 by Idea,325 MB Data -- Overage: 4p/10 KB
10368,68,,7 days,Recharge of Rs. 68 by Idea,400 MB Data -- Overage: 4p/10 KB  -- 
10369,76,,28 days,Recharge of Rs. 76 by Idea,190 MB 4G/2G Data -- Overage: 4p/10KB -- FUP limit: Handheld
10370,77,,8 days,Recharge of Rs. 77 by Idea,250 MB 4G/2G -- Overage: 4p/10KB
10371,88,,14 days,Recharge of Rs. 88 by Idea,500 MB Data -- Overage: 4p/10 KB
10372,93,,5 days,Recharge of Rs. 93 by Idea,1 GB 4G/2G Data -- Overage: 4p/10KB
10373,98,,14 days,Recharge of Rs. 98 by Idea,575 MB Data -- Overage: 4p/10 KB
10374,101,,28 days,Recharge of Rs. 101 by Idea,1 GB 4G/2G Data -- Overage: 4p/10kb
10375,104,,28 days,Recharge of Rs. 104 by Idea,350 MB 4G/2G Data -- Overage: 4p/10KB
10377,125,,21 days,Recharge of Rs. 125 by Idea,725 MB Data -- Overage: 4p/10 KB
10378,153,,21 days,Recharge of Rs. 153 by Idea,500 MB 4G/2G -- Overage: 4p/10KB
10379,174,,28 days,Recharge of Rs. 174 by Idea,1 GB Data -- FUP limit: Speed post 1 GB @ 80kbps
10380,177,,28 days,Recharge of Rs. 177 by Idea,500 MB 4G/2G -- Overage: 4p/10KB
10381,198,,28 days,Recharge of Rs. 198 by Idea,Unlimited Internet (FUP - 2 GB) -- FUP limit: Speed post 2 GB @ 80kbps
10383,248,,28 days,Recharge of Rs. 248 by Idea,1 GB 4G/2G -- Overage: 4p/10KB
10384,249,,28 days,Recharge of Rs. 249 by Idea,Unlimited Internet (FUP - 3GB) -- FUP limit: Speed post 3 GB @ 80kbps
10385,295,,28 days,Recharge of Rs. 295 by Idea,1GB Day (24hrs) + 1GB Night (12am-6am) -- Overage: 4p/10KB
10386,448,,28 days,Recharge of Rs. 448 by Idea,2 GB 4G/2G Data -- Overage: 4p/10KB
10387,648,,28 days,Recharge of Rs. 648 by Idea,Unlimited upto 3GB 4G/2G -- FUP limit: Speed post 3GB @ 128Kbps
10388,847,,28 days,Recharge of Rs. 847 by Idea,Unlimited upto 5GB 4G/2G -- FUP limit: Speed post 5GB @ 128Kbps
10389,948,,28 days,Recharge of Rs. 948 by Idea,Unlimited upto 6GB 4G/2G -- FUP limit: Speed post 6GB @ 128Kbps
10390,992,,365 days,Recharge of Rs. 992 by Idea,10 GB 4G/2G Data
10391,1148,,28 days,Recharge of Rs. 1148 by Idea,Unlimited upto 8GB 4G/2G -- FUP limit: Speed post 8GB @ 128Kbps
10392,1348,,28 days,Recharge of Rs. 1348 by Idea,Unlimited upto 10GB 4G/2G -- FUP limit: Speed post 10GB @ 128Kbps
