id,cost,talktime,validity,short description,long description
409,5,,1 day,Recharge of Rs. 5 by Aircel,15 Local/National mins 
410,6,,1 day,Recharge of Rs. 6 by Aircel,All Local/STD calls @ 30p/min
411,8,,28 days,Recharge of Rs. 8 by Aircel,Local Mobile Call @30p/min + First minute of the day@80p/min.
412,11,,28 days,Recharge of Rs. 11 by Aircel,Local A2A mobile Calls @10p/min
413,12,,28 days,Recharge of Rs. 12 by Aircel,All mobile calls @ 30p/min
414,13,,28 days,Recharge of Rs. 13 by Aircel,Roaming Incoming @20p/min -- Loc/STD calls @45p/min for roaming on ALL NETWORKS -- OG calls to Nepal @Rs6.99/Min
415,14,,28 days,Recharge of Rs. 14 by Aircel,Local mobile calls @ 25p/min
416,15,,3 days,Recharge of Rs. 15 by Aircel,35 Local & STD Minutes.
417,16,,1 day,Recharge of Rs. 16 by Aircel,Unlimited Local Aircel to Aircel calls
418,19,,1 day,Recharge of Rs. 19 by Aircel,"Unlimited All mobile Calls (UL calls till 300 Mins/day, post 300 Mins/day mobile calls @30p/min)"
419,25,,5 days,Recharge of Rs. 25 by Aircel,60 Local & STD Minutes.
420,27,,21 days,Recharge of Rs. 27 by Aircel,"Local Mobile Calls @20p/Min, post consumption of 100 Local Mobile Minutes, charge at 40p/Min"
421,32,,90 days,Recharge of Rs. 32 by Aircel,All local mobile calls @ 30p/min (first min of the day @ 80p/min every day)
422,33,,84 days,Recharge of Rs. 33 by Aircel,Local A2A mobile Calls @10p/min
423,38,,35 days,Recharge of Rs. 38 by Aircel,L/S calls @25p
424,46,,28 days,Recharge of Rs. 46 by Aircel,Local and STD Mobile Calls @ 40p/min
425,54,,28 days,Recharge of Rs. 54 by Aircel,All mobile Calls (Local + STD) @ 20p/min
426,64,,28 days,Recharge of Rs. 64 by Aircel,Unlimited Local A2A mobile calls + Local A2O calls & All STD mobile calls @30p/min
427,65,,21 days,Recharge of Rs. 65 by Aircel,115 Local & STD Mobile Minutes
428,67,,28 days,Recharge of Rs. 67 by Aircel,9500 Local Mobile Seconds
429,79,,21 days,Recharge of Rs. 79 by Aircel,250 Local & STD Minutes.
430,111,,28 days,Recharge of Rs. 111 by Aircel,300 Local Minutes
431,115,,28 days,Recharge of Rs. 115 by Aircel,400 Local & STD Minutes.
432,116,,28 days,Recharge of Rs. 116 by Aircel,"20,000 Local Mobile Seconds"
433,149,,28 days,Recharge of Rs. 149 by Aircel,Unlimited Local A2A Calls
434,1398,,28 days,Recharge of Rs. 1398 by Aircel,"Unlimited Local A2A and 4500 STD A2A Mobile Minutes. Other Local/STD Mobile Calls @ 1p/sec. Post consumption of Free Mins, STD A2A Mobile Calls @ 1p/sec"
