id,cost,talktime,validity,short description,long description
1177,22,,27 days,Recharge of Rs. 22 by Aircel,All STD Mobile Calls@30p/m
1178,35,,27 days,Recharge of Rs. 35 by Aircel,All STD Mobile Calls@25p/m
1179,45,,54 days,Recharge of Rs. 45 by Aircel,All STD Mobile Calls@30p/m
1180,58,,54 days,Recharge of Rs. 58 by Aircel,All STD Mobile Calls@25p/m
