id,cost,talktime,validity,comments
15980,7,,28 days,Daily 1st SMS @ 25 paise post that All Telenor to Telenor (Local + STD) @1p/SMS and Telenor to others (Local + STD) @15p/SMS
15981,13,,28 days,"Daily 100 Telenor to Telenor (Local+STD) SMS Free , Other Local & National sms @60p/sms"
15982,16,,28 days,"Daily 100 free SMS (Local+STD) , First 2 SMS @Rs 1/sms"
15983,29,,14 days,1000 All India SMS
15984,59,,28 days,2800 All India SMS
