id,cost,talktime,validity,short description,long description
12626,28,,4 days,Recharge of Rs. 28 by RelianceGSM,70 Local Minutes
12627,34,,4 days,Recharge of Rs. 34 by RelianceGSM,75 Local and STD Minutes
12628,38,,28 days,Recharge of Rs. 38 by RelianceGSM,All Local+STD Calls @ 35p/min
12629,42,,28 days,Recharge of Rs. 42 by RelianceGSM,All Local Calls @ 25p/min
12630,45,,10 days,Recharge of Rs. 45 by RelianceGSM,135 Local Minutes
12631,54,,30 days,Recharge of Rs. 54 by RelianceGSM,All calls at 45p/min ( Home = Roam & incoming Free )
12632,65,,28 days,Recharge of Rs. 65 by RelianceGSM,All Local+STD Calls @ 30p/min
12633,84,,90 days,Recharge of Rs. 84 by RelianceGSM,Local & STD All Calls @25p/min
12634,95,,45 days,Recharge of Rs. 95 by RelianceGSM,All Local+STD Calls @ 30p/min
12635,128,,28 days,Recharge of Rs. 128 by RelianceGSM,350 Local and STD Minutes
12636,145,,28 days,Recharge of Rs. 145 by RelianceGSM,450 Local Minutes
12637,225,,28 days,Recharge of Rs. 225 by RelianceGSM,650 Local and STD Minutes
