id,cost,talktime,validity,comments
16375,17,,28 days,All local mobile calls @30p/min
16376,21,,28 days,All Local & STD Mobile calls @1p/Sec
16377,25,,1 day,Unlimited Vodafone to Vodafone and 60 Min Vodafone to Other Calls
16378,28,,4 days,50 All Local Minutes
16379,29,,3 days,80 Local Vodafone minutes
16380,32,,56 days,Local calls @30p/min 
16381,41,,28 days,Local Vodafone calls @10p/min
16382,47,,28 days,Local V2V calls @ 40p/min and All STD & Local V2O mobile calls @ 50p/min
16383,65,,28 days,All local calls @ 35p/min
16384,69,,10 days,100 Local & STD minutes
16385,78,,28 days,Local calls @30p/min
16386,79,,28 days,Local @35p/min & STD @45p/min
16387,85,,28 days,1500 Local VF to VF mins from 10pm to 6am next day
16388,96,,7 days,400 local + STD mins
16389,109,,14 days,175 Local & STD Mins
16390,189,,28 days,300 Local + STD mins
16391,203,,28 days,450 All Local Minutes
16392,219,,28 days,430 Local and STD Minutes
16393,649,,28 days,"Vodafone BIG BENEFIT Offer! Now get 6000 Local mins for just Rs 649 (5000 Local Vodafone+ 1000 Other Local mins),"
16394,849,,28 days,Vodafone BIG BENEFIT Offer!Now get 8000 Local+STD mins for just Rs 849 (6500 Local Vodafone+ 1500 Other Local and STD)
