id,cost,talktime,validity,short description,long description
10585,348,,28 days,Recharge of Rs. 348 by Idea,"Unlimited Local/STD calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable -- 1 GB 3G/2G Data + 1 GB/Day 3G/2G for 4G Handsets, Customers newly upgrading to 4G Handset will be eligible to get additional data only after 48 hours of handset upgrade. Additional data can be used on 4G handset only -- Get 5% Additional Talktime of MRP on recharges done exclusively on My Idea App and Idea Website -- This STV should not be used for any commercial activity. "
10586,357,,28 days,Recharge of Rs. 357 by Idea,"Unlimited Local/STD + Roaming Calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 250 mins in a day or 1000 mins in a week. For any customer found violating any of these conditions, 30p/min Local+STD Calls Rates will be applicable within Validity Period -- 1 GB Data (4G handset users will get additional 1 GB/Day 3G data, Customers newly upgrading to 4G Handset will be eligible to get additional data only after 48 hours of handset upgrade. Additional data can be used on 4G handset only) -- This STV should not be used for any commercial activity"
10589,696,,84 days,Recharge of Rs. 696 by Idea,"Unlimited Local/STD + Roaming Calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 250 mins in a day or 1000 mins in a week. For any customer found violating any of these conditions, 30p/min Local+STD Calls Rates will be applicable within Validity Period -- 6 GB Data (4G handset users will get additional 1.5 GB/Day 3G data, Customers newly upgrading to 4G Handset will be eligible to get additional data only after 48 hours of handset upgrade. Additional data can be used on 4G handset only) -- This STV should not be used for any commercial activity"
10590,342,,28 days,Recharge of Rs. 342 by Idea,"Unlimited Local/STD Calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable. -- Unlimited 3G/2G data per day for 4G handsets only (Speed to reduce @80Kbps post 1GB), Applicable to new prepaid acquisitions within 30 calendar days from the day of recharge of First Recharge Offer (STV 345 till 31st March 2017) -- Get 5% Additional Talktime of MRP on recharges done exclusively on My Idea App and Idea Website -- This STV should not be used for any commercial activity. "
10591,19,,1 Hour,Recharge of Rs. 19 by Idea,1 Hour 3G Unlimited -- 
10592,25,,28 days,Recharge of Rs. 25 by Idea,250 MB Data -- Overage: 4p/10KB
10593,31,,4 days,Recharge of Rs. 31 by Idea,"120 MB -- Eligible for Freemium Service bundled for 1 month which provides updates and trivia on Music releases/launches, concerts, TV shows, Celebrity Birthdays, regional & devotional festivalsOn registration user receives free Sms alerts -- Overage: 4p/10KB  -- "
10594,47,,14 days,Recharge of Rs. 47 by Idea,1 GB Data (AON <90 Days) -- Overage: 4p/10 KB
10595,47,,14 days,Recharge of Rs. 47 by Idea,500 MB(AON>90 Days) -- Overage: 4p/10KB
10596,51,,28 days,Recharge of Rs. 51 by Idea,500 MB Data -- Overage: 4p/10KB
10597,53,,28 days,Recharge of Rs. 53 by Idea,1 GB 3G Data -- Overage: 4p/10KB -- Available only after Long Term Plan Recharge of MRP 1495
10598,61,,28 days,Recharge of Rs. 61 by Idea,150 MB Data -- Overage: 4p/10KB
10599,65,,14 days,Recharge of Rs. 65 by Idea,Up to 2 GB Data. Minimum assured 500 MB 3G Data -- Overage: 4p/10KB
10600,95,,28 days,Recharge of Rs. 95 by Idea,1 GB Data  -- Overage: 4p/10KB
10601,99,,14 days,Recharge of Rs. 99 by Idea,400 MB Data (for AON>90 Days) -- Overage: 4p/10 KB
10602,102,,28 days,Recharge of Rs. 102 by Idea,2 GB 3G Data -- Overage: 4p/10KB -- Available only after Long Term Plan Recharge of MRP 1495
10603,102,,28 days,Recharge of Rs. 102 by Idea,1 GB 3G Data -- Overage: 4p/10KB -- Available only after Long Term Plan Recharge of MRP 749
10604,103,,28 days,Recharge of Rs. 103 by Idea,300 MB -- Overage: 4p/10KB
10605,121,,28 days,Recharge of Rs. 121 by Idea,1 GB 3G Data -- Overage: 4p/10KB -- Available only after Long Term Plan Recharge of MRP 485
10606,151,,28 days,Recharge of Rs. 151 by Idea,500 MB data -- Upto 2 GB 3G data subject to time recharge by subscriber. -- Overage: 4p/10KB
10607,175,,28 days,Recharge of Rs. 175 by Idea,1 GB Data -- Overage: 4p/10KB
10608,245,,28 days,Recharge of Rs. 245 by Idea,5 GB 3G Data -- Overage: 4p/10KB -- Available only after Long Term Plan Recharge of MRP 1495
10609,245,,28 days,Recharge of Rs. 245 by Idea,2.5 GB 3G Data -- Overage: 4p/10KB -- Available only after Long Term Plan Recharge of MRP 749
10610,251,,28 days,Recharge of Rs. 251 by Idea,1.5 GB Data -- Overage: 4p/10KB
10611,255,,5 days,Recharge of Rs. 255 by Idea,Unlimited 3G Data (Speed throttled at 80 Kbps after 1 GB usage daily)
10612,295,,28 days,Recharge of Rs. 295 by Idea,1 GB 3G DATA -- 400 Local /National Mins -- Get 5% Additional Talktime of MRP on recharges done exclusively on My Idea App and Idea Website
10613,351,,28 days,Recharge of Rs. 351 by Idea,2.5 GB Data -- Overage: 4p/10KB
10614,451,,28 days,Recharge of Rs. 451 by Idea,3.5 GB Data -- Overage: 4p/10KB
10616,495,,28 days,Recharge of Rs. 495 by Idea,2 GB 3G Data & 800 Local /National Mins
10617,649,,30 days,Recharge of Rs. 649 by Idea,"Unlimited Data (3 GB FUP) -- FUP limit: Upto 3 GB Data @3G High Speed, Post 3 GB Data @80 Kbps"
10618,651,,28 days,Recharge of Rs. 651 by Idea,5.5 GB Data -- Overage: 4p/10KB
10619,749,,180 days,Recharge of Rs. 749 by Idea,Instant 7GB 3G data benefit valid for 28days. For 6 months customer gets 1GB 3G data with 28 Days Validity @Rs. 102 or 2.5GB 3G data with 28 days validity @Rs. 245 -- Overage: 4p / 10KB
10620,751,,30 days,Recharge of Rs. 751 by Idea,"Unlimited (4 GB FUP) -- FUP limit: Upto 4 GB @3G High Speed, Post 4 GB @80 Kbps"
10621,851,,28 days,Recharge of Rs. 851 by Idea,7.5 GB Data -- Overage: 4p/10KB
10622,951,,30 days,Recharge of Rs. 951 by Idea,"Unlimited (6GB FUP) -- FUP limit: Upto 6 GB @3G High Speed, Post 6 GB @80 Kbps"
10623,991,,28 days,Recharge of Rs. 991 by Idea,10 GB Data -- Extra 250 MB on App Recharge only -- Overage: 4p/10KB
10624,999,,365 days,Recharge of Rs. 999 by Idea,10 GB Data -- Overage: 4p/10 KB
10625,1251,,90 days,Recharge of Rs. 1251 by Idea,4 GB Data -- Overage: 4p/10KB
10626,1495,,365 days,Recharge of Rs. 1495 by Idea,Instant 15GB 3G data benefit valid for 28days. For 12 months customer gets 1GB 3G data with 28 Days Validity @Rs. 53 or 2GB 3G data with 28 days validity @Rs. 102 and 5GB 3G data with 28 days validity @Rs. 245 -- Overage: 4p / 10KB
10627,1501,,30 days,Recharge of Rs. 1501 by Idea,10 GB -- Overage: 4p/10KB
10633,249,,35 days,Recharge of Rs. 249 by Idea,"UnLimited Local + STD On-Net -- 0.5 GB Data (All) for 35 days (Daily/weekly CUP of 300/1200Mins will be applicable on On-Net + Off-Net mins, post which overage of 10p/min will be applicable -- Get 5% Additional Talktime of MRP on recharges done exclusivel"
10635,399,,28 days,Recharge of Rs. 399 by Idea,"UL Local/STD Calls^ + 2GB 3G Data valid for 28 Days -- ^ This STV should not be used for any commercial activity. Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable."
