id,cost,talktime,validity,comments
9532,9,,28 days,Local mobile 30p/min + STD mobile call at 40p/min
9533,16,,28 days,Local Mobile 25p/min and STD mobile 30p/min
9534,21,,28 days,I2I Local mobile @ 10p/min
9535,22,,56 days,Local Mobile 25p/min and STD mobile 30p/min
9536,29,,28 days,"10p/min Local Idea Mobile , Other Local and STD mobile 30p/min"
9537,97,,28 days,300 Local + National Mobile Minutes
9538,196,,15 days,Unlimited Local Mobile Calls *
9539,198,,28 days,650 Local + National Mobile Minutes
9540,199,,7 days,Unlimited Local+STD Mobile calls*
9541,247,,28 days,ULTD Local Mobile calls *
9542,299,,14 days,Unlimited Local + STD mobile Call *
9543,786,,28 days,"Local & STD mobile Calls @ 35p/min -- Gulf* (Saudi, Bahrain & Kuwait) @ Rs 7.86/minUAE @ Rs 8.86/minUS/Canada & Bangladesh @ Rs 2.99"
