id,cost,minutes,validity,comments
8099,12,30,3 days,"30 mins of Local and STD calls Free,Post free minutes all mobile calls will be charged @ 96p/min"
8116,97,520,21 days,250 mins of Local and STD mobile calls free
8121,148,750,14 days,"Unlimited Loca/STD 750 Min, Post capping loc/std calls@30p/min"
8125,298,2000,28 days,"Loc/STD 2000Mins call, Post capping loc/STD calls@30p/min"
