id,cost,talktime,validity,short description,long description
14151,120,120,N.A,Recharge of Rs. 120 by RelianceGSM,Talktime of Rs. 120 for Rs. 120 recharge by Reliance GSM
14159,500,500,N.A,Recharge of Rs. 500 by RelianceGSM,Talktime of Rs. 500 for Rs. 500 recharge by Reliance GSM
