cost,monthly-cost,local-rate,std-rate,validity,details,comments
5,75/7,0.3,nil,14,Cost: Rs5 | Validity: 14days | Local Call Rate: Rs0.3/minute,LOCAL MOBILE CALLS @ 30P/MIN WITH 1ST MIN CHARGING @ 2P/S
13,130/9,0.6,0.6,27,Cost: Rs13 | Validity: 27days | Local Call Rate: Rs0.6/minute | STD Call Rate: Rs0.6/minute,Local + STD mob calls @ 1p/s
17,170/9,0.3,nil,27,Cost: Rs17 | Validity: 27days | Local Call Rate: Rs0.3/minute,LOCAL MOBILE CALLS @ 30P/MIN WITH 1ST MIN CHARGING @ 2P/S
19,95/9,0.6,0.6,54,Cost: Rs19 | Validity: 54days | Local Call Rate: Rs0.6/minute | STD Call Rate: Rs0.6/minute,Local + STD mob calls @ 1p/s
27,30,0.3,nil,27,Cost: Rs27 | Validity: 27days | Local Call Rate: Rs0.3/minute,Local mob calls @ 30p/min
14,140/9,nil,0.25,27,Cost: Rs14 | Validity: 27days | STD Call Rate: Rs0.25/minute,STD mob calls @ 25p/min
28,140/9,nil,0.25,54,Cost: Rs28 | Validity: 54days | STD Call Rate: Rs0.25/minute,STD mob calls @ 25p/min
33,1655/63,0.3,nil,30,"Local Cost Cutter -> Cost: Rs5 | Validity: 14days | Local Call Rate: Rs0.3/minute
STD Cost Cutter -> Cost: Rs28 | Validity: 54days | STD Call Rate: Rs0.25/minute","Local Cost Cutter -> LOCAL MOBILE CALLS @ 30P/MIN WITH 1ST MIN CHARGING @ 2P/S
STD Cost Cutter -> STD mob calls @ 25p/min"
19,1655/63,0.3,nil,30,"Local Cost Cutter -> Cost: Rs5 | Validity: 14days | Local Call Rate: Rs0.3/minute
STD Cost Cutter -> Cost: Rs14 | Validity: 27days | STD Call Rate: Rs0.25/minute","Local Cost Cutter -> LOCAL MOBILE CALLS @ 30P/MIN WITH 1ST MIN CHARGING @ 2P/S
STD Cost Cutter -> STD mob calls @ 25p/min "
45,310/9,0.3,nil,30,"Local Cost Cutter -> Cost: Rs17 | Validity: 27days | Local Call Rate: Rs0.3/minute
STD Cost Cutter -> Cost: Rs28 | Validity: 54days | STD Call Rate: Rs0.25/minute","Local Cost Cutter -> LOCAL MOBILE CALLS @ 30P/MIN WITH 1ST MIN CHARGING @ 2P/S
STD Cost Cutter -> STD mob calls @ 25p/min"
31,310/9,0.3,nil,30,"Local Cost Cutter -> Cost: Rs17 | Validity: 27days | Local Call Rate: Rs0.3/minute
STD Cost Cutter -> Cost: Rs14 | Validity: 27days | STD Call Rate: Rs0.25/minute","Local Cost Cutter -> LOCAL MOBILE CALLS @ 30P/MIN WITH 1ST MIN CHARGING @ 2P/S
STD Cost Cutter -> STD mob calls @ 25p/min "
55,410/9,0.3,nil,30,"Local Cost Cutter -> Cost: Rs27 | Validity: 27days | Local Call Rate: Rs0.3/minute
STD Cost Cutter -> Cost: Rs28 | Validity: 54days | STD Call Rate: Rs0.25/minute","Local Cost Cutter -> Local mob calls @ 30p/min
STD Cost Cutter -> STD mob calls @ 25p/min"
41,410/9,0.3,nil,30,"Local Cost Cutter -> Cost: Rs27 | Validity: 27days | Local Call Rate: Rs0.3/minute
STD Cost Cutter -> Cost: Rs14 | Validity: 27days | STD Call Rate: Rs0.25/minute","Local Cost Cutter -> Local mob calls @ 30p/min
STD Cost Cutter -> STD mob calls @ 25p/min "
