cost,monthly-cost,minutes,monthly-minutes,validity,details,comments
43,430/9,275/3,2750/27,27,Cost: Rs43 | Validity: 27days | Minutes: 275/3,5500 LOCAL + STD MOBILE & LANDLINE SECS  -- 
198,220,1625/3,16250/27,27,Cost: Rs198 | Validity: 27days | Minutes: 1625/3,32500 Local + STD mob secs 
