cost,talktime,validity,comments
9,9,1,Full Talk Time of  Rs.9 + 1 Local A2A SMS
10,7.47,nil,Benefit: Talktime of 7.47 in main account.
19,19,2,Full Talk Time of Rs.19 + 1 Local A2A SMS
20,14.95,nil,Benefit: Talktime of 14.95 in main account.
29,29,1,FULL TALKTIME OF RS.29 AND 5 LOCAL AIRTEL TO AIRTEL SMS VALID FOR 1 DAY
30,22.42,nil,Benefit: Talktime of 22.42 in main account.
36,27.51,nil,Talktime of Rs.27.51 + 5 Local A2A sms (Valid For 2 Days)
40,30.9,nil,Talktime of Rs.30.9
44,44,5,DA TALKTIME OF 44 AND 5 LOCAL A2A SMS WITH 5 DAYS VALIDITY. DIAL *121*2# TO CHECK BALANCE.
45,35.14,nil,Benefit: RS 35.14 TALKTIME + 5 NIGHT A2A SMS FOR 2 DAYS
49,49,5,BENEFIT: TALKTIME OF 49 AND 5 LOCAL A2A SMS WITH 5 DAYS VALIDITY. DIAL *121*2# TO CHECK BALANCE
50,39.37,nil,Talktime of Rs.39.37
55,43.61,nil,Benefit: TALKTIME OF RS.43.61 + 5 LOCAL AIRTEL TO AIRTEL SMS (VALID FOR 2 DAYS)
59,59,7,TALKTIME OF RS.59 VALID FOR 7 DAYS + 10 NIGHT AIRTEL TO AIRTEL SMS FOR 2 DAYS
60,47.85,nil,Benefit: Talktime of 47.85 in main account.
70,56.32,nil,Talktime of Rs.56.32
75,60.56,nil,Benefit: TALKTIME OF RS.60.56 + 5 LOCAL AIRTEL TO AIRTEL SMS (VALID FOR 2 DAYS)
80,64.8,nil,Talktime of Rs.64.8
99,99,11,BENEFIT:-RS99 FULL TALKTIME FOR 11 DAYS AND 10 LOCAL A2A SMS FOR 2 DAYS.
100,81.75,nil,Talktime of Rs.81.75
110,90.22,nil,Talktime of Rs.90.22
120,98.69,nil,Talktime of Rs.98.69
150,124.12,nil,Talktime of Rs.124.12.
200,190,nil,Talktime of Rs.190
249,208,nil,Benefit: Talktime of 208 in main account + Daily 5 Local Airtel to Airtel night SMS for 2 days. Dial *123# to check balance
250,238,nil,Benefit: Talktime of 238 in main account. Dial *123# to check balance.
300,290,nil,Talktime of Rs.290
350,350,nil,Benefit: Talktime of 350 in main account. Dial *123# to check balance.
412,366.68,30,Rs.366.68 Talktime in Main Account + All local and STD calls @ 1.2p/s for 30 days
500,500,nil,Talktime of Rs.500
700,700,nil,Talktime of Rs.700
800,800,nil,Talktime of Rs.800
1000,1000,nil,Talktime of Rs.1000
1500,1500,nil,Benefit: Talktime of 1500 in main account. Dial *123# to check balance
2000,2000,nil,Benefit: Talktime of 2000 in main account. Dial *123# to check balance
2500,2600,nil,Talktime of Rs.2600
3000,3000,nil,Benefit: Talktime of 3000 in main account. Dial *123# to check balance
4000,4100,nil,Talktime of Rs.4100
5000,5000,nil,Benefit: Talktime of 5000 in main account. Dial *123# to check balance
