id,cost,talktime,validity,short description,long description
13981,2,,1 day,Recharge of Rs. 2 by RelianceGSM,All STD+Local Calls @ 20p/Min 
13982,8,,2 days,Recharge of Rs. 8 by RelianceGSM,"Local Onnet @ 15p/min, Local Offnet & STD @35p/min"
13983,9,,1 day,Recharge of Rs. 9 by RelianceGSM,60 Local Reliance to Reliance Mins
13984,12,,28 days,Recharge of Rs. 12 by RelianceGSM,All STD+Local Onnet Calls @ 10p/Min
13985,18,,3 days,Recharge of Rs. 18 by RelianceGSM,"Local Onnet @ 15p/min, Local Offnet & STD @ 35p/min"
13986,21,,28 days,Recharge of Rs. 21 by RelianceGSM,All Local calls @ 1.4p/2sec
13987,29,,28 days,Recharge of Rs. 29 by RelianceGSM,Local mobile calls @ 1.7p/2sec.
13988,32,,21 days,Recharge of Rs. 32 by RelianceGSM,Local mobile calls @ 40p/min
13989,43,,21 days,Recharge of Rs. 43 by RelianceGSM,Local mobile calls @ 35p/min
13990,44,,28 days,Recharge of Rs. 44 by RelianceGSM,All Local calls @25p/Min
13991,48,,28 days,Recharge of Rs. 48 by RelianceGSM,Local Reliance to Reliance Calls @ 15p/minute
13992,51,,28 days,Recharge of Rs. 51 by RelianceGSM,"All Call @ 45p/Minute for Home or Roaming, with free incoming Roaming."
13993,54,,28 days,Recharge of Rs. 54 by RelianceGSM,Local mobile calls @ 35p/min.
13994,55,,7 days,Recharge of Rs. 55 by RelianceGSM,100 minutes for Local and STD Voice calls
13995,62,,28 days,Recharge of Rs. 62 by RelianceGSM,All Calls @30p/Min
13996,97,,90 days,Recharge of Rs. 97 by RelianceGSM,All Local & STD Calls @20p/min
13997,108,,28 days,Recharge of Rs. 108 by RelianceGSM,215 Local & STD Minutes
13998,148,,28 days,Recharge of Rs. 148 by RelianceGSM,250 Local Mins.
