id,cost,talktime,validity,comments
7353,3,,1 day,Data usage from main a/c is chargeable @9paise/1MB from 02:00 hours to 06:00 hours. Voucher benefit is not available in MTNL area.
7354,4,,1 day,20MB 2G/3G Data
7355,17,,1 day,110 MB 2G/3G
7356,25,,2 days,500 MB 2G/3G Night Data
7357,39,,5 days,200MB 2G/3G -- Charges after free usage: 3ps/10KB 
7358,46,,2 days,1GB 2G/3G night data
7359,56,,21 days,250 MB 2G/3G Data
7360,63,,28 days,Data usage from main a/c is chargeable @9paise/1MB from 02:00 hours to 06:00 hours. Voucher benefit is not available in MTNL area.
7361,68,,1 day,1 GB 2G/3G Data -- If recharged between 28/10/2016 to 05/11/2016 double data benefit i.e. 2GB will be available
7362,74,,5 days,Unlimited onnet voice calls local/STD -- 1 GB free 2G/3G data -- 74minoffnet voice calls
7363,78,,3 days,2GB 2G/3G data available both in home LSA and National Roaming. Data charge beyond freebies is 3paise/10KB -- Double data offer from 15 to 20 Aug 2017
7364,98,,10 days,1300MB 2G/3G data available both in home LSA and National Roaming. Data charge beyond freebies is 3paise/10KB -- Double data offer from 15 to 20 Aug 2017
7365,101,,26 days,Unlimited local/STD BSNL to BSNL voice calls -- 1 GB 2G/3G Data.
7366,103,,5 days,1 GB 2G/3G data and free TV channels
7367,109,,28 days,650MB 2G/3G data available both in home LSA and National Roaming. Data charge beyond freebies is 3paise/10KB. -- Double data offer from 15 to 20 Aug 2017
7368,155,,17 days,1.5GB 2G/3G data available both in home LSA and National Roaming. Data charge beyond freebies is 3paise/10KB -- Double data offer from 15 to 20 Aug 2017
7369,156,,10 days,2 GB 2G/3G data. Free data is also available in National Roaming. Data charges beyond freebies is 3paise/10KB.
7370,178,,17 days,1 GB 2G/3G data and free TV channels
7371,179,,17 days,1 GB 2G/3G data and free TV channels
7372,198,,25 days,2.2GB 2G/3G data available both in home LSA and National Roaming. Data charge beyond freebies is 3paise/10KB -- Double data offer from 15 to 20 Aug 2017
7373,291,,27 days,4GB 2G/3G data available both in home LSA and National Roaming. Data charge beyond freebies is 3paise/10KB -- Double data offer from 15 to 20 Aug 2017
7374,333,,56 days,"Triple Ace_333: 3 GB/Day 2G/3G Data, Post 3GB/day unlimited internet @ 80kbps."
7375,339,,26 days,Unlimited local/STD BSNL to BSNL voice calls + 30 Min/day free voice call from BSNL to others network (off-net voice calls will be charged @ 25P/Min after free off-net voice calls) -- Unlimited 2G/3G data (speed restricted to 80 KBPS after 3 GB/day) data.
7376,349,,26 days,"Dil Khol ke Bol STV_349: Unlimited Local/STD calls to any network in home LSA -- 2.5GB 2G/3G Data, Post 2.5GB unlimited internet @ 80kbps"
7377,351,,28 days,1.5 GB 2G/3G Data with high speed & beyond that unlimited data with low speed.
7378,395,,60 days,"Nehle per Dehla STV_395: 3000 minutes onnet Local/STD Voice calls in home LSA. After free minutes call charges as per base plan -- 1800 minutes offnet Local/STD Voice calls in home LSA. After free minutes call charges @20 paise/min from main a/c -- 2GB/Day 2G/3G Data, Post 2GB/day unlimited internet @ 80kbps -- Data freebies is available in National roaming also"
7379,444,,90 days,"Chaukka_444: 4 GB/Day 2G/3G Data, Post 4GB/day unlimited internet @ 80kbps"
7380,452,,28 days,2.5 GB 2G/3G Data with high speed and beyond that unlimited data with low speed.
7381,549,,30 days,6 GB 2G/3G Data
7382,561,,90 days,8GB 2G/3G data available both in home LSA and National Roaming. Data charge beyond freebies is 3paise/10KB -- Double data offer from 15 to 20 Aug 2017
7383,597,,180 days,6GB 2G/3G Data
7384,651,,28 days,5.5 GB 2G/3G Data with high speed and beyond that unlimited data with low speed.
7385,751,,28 days,7 GB 2G/3G Data with high speed and beyond that unlimited data with low speed.
7386,821,,120 days,12GB 2G/3G data available both in home LSA and National Roaming. Data charge beyond freebies is 3paise/10KB. -- Double data offer from 15 to 20 Aug 2017
7387,851,,28 days,8 GB 2G/3G Data with high speed and beyond that unlimited data with low speed.
7388,951,,28 days,9 GB 2G/3G Data with high speed and beyond that unlimited data with low speed.
7389,1099,,30 days,Unlimited 2G/3G data usage. Free data is also available in national roaming.
7390,1197,,365 days,14GB 2G/3G Data
7391,1498,,365 days,36GB 2G/3G data available both in home LSA and National Roaming. Data charge beyond freebies is 3paise/10KB. -- Double data offer from 15 to 20 Aug 2017
7392,1949,,270 days,40GB 2G/3G data available both in home LSA and National Roaming. Data charge beyond freebies is 3paise/10KB -- Double data offer from 15 to 20 Aug 2017
7393,2798,,365 days,72GB 2G/3G data available both in home LSA and National Roaming. Data charge beyond freebies is 3paise/10KB. -- Double data offer from 15 to 20 Aug 2017
7394,3099,,30 days,15 GB 2G/3G Data -- Unlimited BSNL to BSNL voice call in Local/STD/Roaming scenario.500 minutes BSNL to Others voice call in Local/STD/Roaming scenario.
7395,3998,,365 days,110GB 2G/3G data available both in home LSA and National Roaming. Data charge beyond freebies is 3paise/10KB. -- Double data offer from 15 to 20 Aug 2017
7396,4498,,365 days,160GB 2G/3G data available both in home LSA and National Roaming. Data charge beyond freebies is 3paise/10KB. -- Double data offer from 15 to 20 Aug 2017
