id,cost,talktime,validity,comments
15291,18,,3 days,40 Local & STD mins
15292,33,,90 days,"Local Off-Net mobile calls @36p/min -- Local Off-Net mobile calls @ 36p/min(per second pulse rate, first 30 second 1.2p/s next 30 second 0p/sec)"
15293,34,,6 days,75 Local & STD Mins
15294,36,,30 days,"Local/STD calls @36p/min(per second pulse rate, first 30 second 1.2p/s next 30 second 0p/sec)"
15295,161,,30 days,300 Local & STD Mins 
15296,299,,30 days,700 Local Mins 
15297,599,,30 days,1200 Local & STD Mins
