id,cost,talktime,validity,comments
2135,3,,10 days,All Local & STD Mobile @30p/m  -- Applicable only for new subscribers as FRC/SRC
2136,57,20,28 days,Talktime Validity:unlimited -- 50 MB 4G/3G Data -- All Local & STD Mobile @1.5p/s and Fixedline @2p/sec -- Applicable only for new subscribers as FRC/SRC
2137,92,40,28 days,Talktime Validity:unlimited -- 125 MB 4G/3G Data -- All Local & STD Mobile @1.5p/s and Fixedline @2p/sec -- Applicable only for new subscribers as FRC/SRC
2138,102,67,28 days,Talktime Validity:unlimited -- 50 MB 4G/3G Data -- All Local & STD Mobile @1.5p/s and Fixedline @ 2p/sec -- Applicable only for new subscribers as FRC/SRC
2139,144,,28 days,Unlimited Local & STD Airtel calls -- 2 GB data on 4G Handset with 4G SIM and 1 GB for others -- T&C apply -- Applicable only for new subscribers as FRC/SRC
2140,152,20,28 days,1 GB 4G/3G Data (30 days) -- Call Rates: All Local + STD Mobile @1.5p/s + Fixedline @2p/Sec -- Talktime Validity: Unlimited -- Applicable only for new subscribers as FRC/SRC
2141,344,,28 days,Unlimited all Local + STD calls -- 1 GB/day 3G/4G data -- T&C apply. -- Applicable only for new subscribers as FRC/SRC
