id,cost,talktime,validity,short description,long description
19012,119,,28 days,Recharge of Rs. 119 by Vodafone,"Get 325 FLEX @ Rs. 119 -- Use Calls, Internet, SMS & Roaming with one recharge. How to use FLEX: 1 FLEX = 1 min Local/STD - Vodafone to Vodafone / 1 MB Internet/ 1 SMS; 2 FLEX = 1 min Local/STD - Vodafone to Others/ 1 min Outgoing Roaming T&C Apply"
19013,194,,28 days,Recharge of Rs. 194 by Vodafone,"Get 700 FLEX @ Rs. 194 -- Use Calls, Internet, SMS & Roaming with one recharge. How to use FLEX: 1 FLEX = 1 min Local/STD - Vodafone to Vodafone / 1 MB Internet/ 1 SMS; 2 FLEX = 1 min Local/STD - Vodafone to Others/ 1 min Outgoing Roaming T&C Apply"
19014,295,,28 days,Recharge of Rs. 295 by Vodafone,"Get 1200 FLEX @ Rs. 295 -- Use Calls, Internet, SMS & Roaming with one recharge. How to use FLEX: 1 FLEX = 1 min Local/STD - Vodafone to Vodafone / 1 MB Internet/ 1 SMS; 2 FLEX = 1 min Local/STD - Vodafone to Others/ 1 min Outgoing Roaming T&C Apply"
19015,397,,28 days,Recharge of Rs. 397 by Vodafone,"Get 1750 FLEX @ Rs. 397 -- Use Calls, Internet, SMS & Roaming with one recharge. How to use FLEX: 1 FLEX = 1 min Local/STD - Vodafone to Vodafone / 1 MB Internet/ 1 SMS; 2 FLEX = 1 min Local/STD - Vodafone to Others/ 1 min Outgoing Roaming T&C Apply"
