id,cost,talktime,validity,comments
2743,5,,4 days,Local Mobile calls @35p/min
2744,11,,28 days,"Local Mobile calls @30p/min , First 60 seconds of the day @1.5p/sec"
2745,18,,28 days,Local Mobile calls @30p/min
2746,28,,28 days,Local Airtel mobile calls @10p/min
2747,36,,56 days,Local Mobile calls @30p/min
2748,42,,28 days,Local and STD Mobile calls @30p/min
2749,45,,28 days,Local Airtel Mobile calls @10p/min and Other Local Mobile calls @30p/min
2750,47,,5 days,80 Local minutes (mobile & Landline) 
2751,59,,28 days,Local + STD airtel Mobile Calls @ 15p/min
2752,93,,7 days,"Unlimited Local + STD Airtel mobile calls, Other mobiles 100 Min -- 250 MB(4G Handset), 50 MB Other handsets"
2753,99,,10 days,300 Local/STD Mobile mins
2754,135,,28 days,15000 Local/STD Mobile Seconds
2755,198,,4 days,Unlimited Local mobile calls -- T&C apply
2756,199,,30 days,15800 Local/STD Mobile seconds + safe custody of your prepaid number for 12 months.
2757,202,,30 days,"25,000 Local mobile seconds"
2758,296,,56 days,Unlimited local/STD airtel Mobile calls
2759,346,,60 days,Unlimited local/STD airtel Mobile calls
2760,396,,75 days,Unlimited local/STD airtel Mobile calls
