id,cost,talktime,validity,short description,long description
15224,10,7.48,N.A,Recharge of Rs. 10 by Indicom,Talktime of Rs. 7.48 for Rs. 10 recharge by Tata Indicom
15225,20,14.94,N.A,Recharge of Rs. 20 by Indicom,Talktime of Rs. 14.94 for Rs. 20 recharge by Tata Indicom
15226,30,22.42,N.A,Recharge of Rs. 30 by Indicom,Talktime of Rs. 22.42 for Rs. 30 recharge by Tata Indicom
15227,40,30.9,N.A,Recharge of Rs. 40 by Indicom,Talktime of Rs. 30.9 for Rs. 40 recharge by Tata Indicom
15228,50,39.38,N.A,Recharge of Rs. 50 by Indicom,Talktime of Rs. 39.38 for Rs. 50 recharge by Tata Indicom
15229,60,47.84,N.A,Recharge of Rs. 60 by Indicom,Talktime of Rs. 47.84 for Rs. 60 recharge by Tata Indicom
15230,70,56.32,N.A,Recharge of Rs. 70 by Indicom,Talktime of Rs. 56.32 for Rs. 70 recharge by Tata Indicom
15231,80,64.8,N.A,Recharge of Rs. 80 by Indicom,Talktime of Rs. 64.8 for Rs. 80 recharge by Tata Indicom
15232,90,73.28,N.A,Recharge of Rs. 90 by Indicom,Talktime of Rs. 73.28 for Rs. 90 recharge by Tata Indicom
15233,100,81.74,N.A,Recharge of Rs. 100 by Indicom,Talktime of Rs. 81.74 for Rs. 100 recharge by Tata Indicom
15234,110,90.22,N.A,Recharge of Rs. 110 by Indicom,Talktime of Rs. 90.22 for Rs. 110 recharge by Tata Indicom
15235,120,98.7,N.A,Recharge of Rs. 120 by Indicom,Talktime of Rs. 98.7 for Rs. 120 recharge by Tata Indicom
15236,130,107.16,N.A,Recharge of Rs. 130 by Indicom,Talktime of Rs. 107.16 for Rs. 130 recharge by Tata Indicom
15237,140,115.64,N.A,Recharge of Rs. 140 by Indicom,Talktime of Rs. 115.64 for Rs. 140 recharge by Tata Indicom
