id,cost,talktime,validity,comments
7195,37,,180 days,Plan: PerMin_37
7196,53,,365 days,DATA_53_migration
7197,75,,180 days,Plan: Pyari Jodi 75
7198,96,,365 days,Plan Migration: Data_bundle_96 -- 0.5 GB data with validity of 30 days from date of activation
7199,97,,90 days,FAF STV
7200,99,,30 days,Plan: Jai_Jawan_99
7201,136,,730 days,Freedom_136_migration
7202,199,,180 days,Plan: Roam_Free_199
7203,666,,180 days,"PV-666 BSNL SIXER: Unlimited data (Speed reduced to 80 Kbps after 2GB/day) + Unlimited voice calls for 60 days. -- After 60 days: ALL calls (Local/STD) (On-net/Off-net) @ 50 Paisa/Minute -- SMS (while in Home & National Roaming): Local @25 Paisa/SMS, National @35 Paisa/SMS -- All other charges As per Per Minute plan"
