id,cost,talktime,validity,comments
7659,47,30,90 days,Local On-Net mobile calls @ 10p/ min. -- Local Off-Net mobile calls @ 25p/Min -- STD On-Net mobile calls @ 25p/Min -- STD Off-Net mobile calls @ 25p/Min -- Data: 256 MB+256MB*3 valid 30 Days
7660,64,,4 weeks,"Unlimited local Tata to Tata, For AON<90 Days"
7661,82,,4 weeks,Unlimited local Tata to Tata
7662,94,50,28 days,"Talktime(Rs): 50 + 1GB 2G Data, for AON < 90 Days, 1GB 2G Data, for AON > 90 Days"
7663,221,150,90 days,Local On-Net mobile calls @ 25p/Min -- Local Off-Net mobile calls @ 25p/Min -- STD On-Net mobile calls @ 25p/Min -- STD Off-Net mobile calls @ 25p/Min -- Local/STD Mobile calls @ 25p/Min -- Data: 500 MB*3 Months valid 30 Days
7664,252,,180 days,Local On-Net mobile calls @ 78ps/min -- Local Off-Net mobile calls @ 78ps/min -- STD On-Net mobile calls @ 90ps/min -- STD Off-Net mobile calls @ 90ps/min -- Local SMS: Re.1/sms -- STD SMS: Re.1.5/sms -- Incoming calls on roaming 0p/min
7665,775,,180 days,All outgoing Local calls @80ps/min & STD calls @ 1.15ps/min. Incoming calls on roaming @ 0p/ min. All Local SMS from Home Network & Roaming @ 28p/ SMS All National SMS from Home Network & Roaming @ 38p/ SMS
