id,cost,talktime,validity,short description,long description
7653,17,,21 days,Recharge of Rs. 17 by Docomo,All STD Mobile Calls @ 25p/min 
7654,34,,42 days,Recharge of Rs. 34 by Docomo,All STD calls @ 25p/min 
7655,49,,72 days,Recharge of Rs. 49 by Docomo,All STD Mobile Calls @ 25p/min 
