id,cost,talktime,validity,comments
15067,8,,28 days,Local/STD Mobile calls @ 30p/min (first 2 min of the day @ 2p/sec) -- Landline Local/STD @ Re.1/min
15068,9,,28 days,Local/STD Mobile calls @1.2p/sec -- Landline Local/STD @ Re.1/m
15069,17,,28 days,All Local Calls @ Re1/5min & STD Calls @ Rs2/5min
15070,18,,1 day,Unlimited Local On-Net Mins -- Landline Local/STD @ Re.1/m
15071,19,,3 days,40 Local + STD Mins -- Landline Local/STD @ Re.1/m
15072,23,,28 days,Local/STD Mobile calls @ 39p/min -- Landline Local/STD @ Re.1/m
15073,24,,28 days,All Local calls @ 36p/min -- Landline Local/STD @ Re.1/m
15074,27,,90 days,Local/STD Mobile calls @ 1.2p/sec -- Landline Local/STD @ Re.1/m
15075,29,,28 days,All Local calls@ 60p/min -- All STD calls@ 30p/min -- Landline Local/STD @ Re.1/m
15076,35,,14 days,100 Local/ STD On-Net Mins -- Landline Local/STD @ Re.1/m
15077,36,,28 days,All Local calls @25p/min -- All STD calls @ 40p/min -- Landline Local/STD @ Re.1/m
15078,37,,84 days,Local/STD Mobile calls @ 1p/sec -- Landline Local/STD @ Re.1/m
15079,38,,21 days,Local/STD Mobile calls @ 30p/min -- Landline Local/STD @ Re.1/m
15080,43,,28 days,Local/STD Mobile calls @ 39p/min -- Landline Local/STD @ Re.1/m
15081,45,,28 days,Local/STD Mobile calls @1.3p/2sec -- Landline Local/STD @ Re.1/m
15082,58,,28 days,All Local calls @25p/min -- All STD calls @ 40p/min -- Landline Local/STD @ Re.1/m
15083,59,,10 days,140 Local + STD Mins -- Not applicable for PPC & PPC flexi customers.
15084,63,,90 days,Local/STD Mobile calls @39p/min -- Landline Local/STD @ Re.1/m
15085,65,,28 days,225 Local On-Net Mins -- Landline Local/STD @ Re.1/m
15086,74,,28 days,Local & STD On-Net 250 min for 28 days
15087,76,,90 days,All Local calls @ 60p/min -- All STD calls @ 30p/min 
15088,89,,28 days,185 Local + STD Mins
15089,93,,30 days,"Unlimited Local On-Net Free* (*First 3 min of Local Onnet for day @ 2p/sec), All Other Local/STD @30p/min -- Landline Local/STD @ Re.1/min."
15090,98,,75 days,All Local/ STD mobile calls @ 30p/ min. -- Landline Local/STD @ Re.1/ min.
15091,101,,90 days,Local/STD Mobile calls @36p/min -- Landline Local/STD @ Re.1/m
15092,103,,28 days,Unlimited Local/STD On-Net calls
15093,114,,90 days,Local/STD Mobile calls @ 1.3p/2sec -- Landline Local/STD @ Re.1/m
15094,138,,90 days,All Local calls @25p/min -- All STD calls @ 40p/min -- Landline Local/STD @ Re.1/m
15095,148,,14 days,750 Local/STD mintues
15096,225,,28 days,3000 Local On - net Minutes ( post that all Local on-net @ 20p/min) -- Landline Local/STD @ Re.1/m
15097,246,,28 days,1500 Local/STD minutes -- Local + STD Mins: 1500 mins.
15098,298,,28 days,"2000 Local/STD minutes -- Local Off-Net mobile calls @ 36p/min(per second pulse rate, first 30 second 1.2p/s next 30 second 0p/sec)"
15099,299,,28 days,Unlimited Local On-Net Mins; 2000 STD On-Net Mins -- Landline Local/STD @ Re.1/m -- Other Benefits: othe local/std calls @ 1.2p/sec
15100,325,,28 days,3000 Local On-Net Mins; 200 Local + STD Mins -- Landline Local/STD @ Re.1/m
15101,375,,28 days,1400 Local On-Net Mins -- Local Off-Net mobile calls @ post 15 free min daily - 50p/min
15102,399,,28 days,"Unlimited Local On-Net Free, 30 min/day for Other Local call post 30 mins 30p/min, All STD 30p/min -- Landline Local/STD @ Re.1/min."
15103,696,,28 days,4000 Local mins. to any network -- Landline Local/STD @ Re.1/m
15104,999,,28 days,Unlimited Local and STD on - net mins -- Local/STD Mobile calls @ 50p/min
