id,cost,talktime,validity,comments
17016,9,,1 day,15 Local/STD Minutes
17017,15,,28 days,All Local & STD Mobile Calls @ 1p/sec
17018,21,,28 days,150 Local Vodafone to Vodafone Min (10 PM to 8 AM)
17019,25,,4 days,40 Local/STD Minutes
17020,28,,28 days,Local Vodafone to Vodafone Calls @ 10p/min
17021,29,,4 days,90 Local V2V Min calls -- 
17022,32,,28 days,All Local & STD Mobile Calls @ 30p/min -- 
17023,34,,45 days,All local mobile calls @ 30p/min -- 
17024,41,,90 days,250 Local Vodafone to Vodafone Mins (10PM to 8AM)
17025,43,,35 days,All Local & STD Mobile Calls @ 30p/min -- 
17026,46,,7 days,3500 Local & STD Seconds in 24 Hour time band
17027,55,,8 days,90 Local Minutes
17028,56,,56 days,Local Vodafone to Vodafone Calls @ 10p/min
17029,57,,28 days,"All outgoing calls (Local , STD, Roaming) @ 1p/sec. No additional charges for Roaming.Standard rates apply for land line calls."
17030,63,,56 days,All Local & STD Mobile Calls @ 30p/min -- 
17031,65,,10 days,9000 Local/STD seconds (Any Network)
17032,66,,90 days,"500 Local Vodafone to Vodafone Min, time band 10PM to 8AM"
17033,69,,7 days,200 Local V2V Min calls -- 
17034,71,,10 days,105 Local/STD Minutes
17035,78,,28 days,Local Vodafone to Vodafone Calls @ 15p/min -- 
17036,81,,180 days,All Local & STD Mobile Calls @ 1p/sec
17037,83,,84 days,All Local & STD Mobile Calls @ 30p/min -- 
17038,87,,13 days,6500 Local/STD Seconds
17039,97,,84 days,Local Vodafone to Vodafone Calls @ 10p/min
17040,104,,28 days,15000 Local/STD seconds (Any Network)
17041,105,,90 days,1000 Local Vodafone to Vodafone minutes in time band of 10 PM to 8 AM
17042,109,,28 days,8500 Local/STD Seconds
17043,111,,28 days,175 Local/STD Minutes
17044,119,,14 days,350 Local V2V Min calls -- 
17045,122,,90 days,Local Vodafone to Vodafone Calls @ 10p/min
17046,125,,28 days,10000 Local/STD Seconds
17047,129,,28 days,200 Local/STD Minutes
17048,138,,180 days,All Local + STD mobile Calls @ 60p/min and Landline calls @ Rs1.5/min
17049,139,,14 days,500 Local V2V Min
17050,141,,90 days,Local Vodafone to Vodafone Calls @ 10p/min
17051,145,,22 days,260 Local Minutes
17052,151,,28 days,240 Local /STD Minutes
17053,152,,30 days,300 Local Minutes
17054,195,,30 days,380 Local Minutes
17055,197,,30 days,600 Local V2V Min calls -- 
17056,199,,28 days,19000 Local/STD Seconds
17057,204,,28 days,34000 Local/STD seconds (Any Network)
17058,222,,28 days,400 Local/STD Minutes
17059,229,,28 days,22000 Local/STD Seconds
17060,249,,30 days,1250 Local V2V Min calls -- 
17061,304,,28 days,50000 Local/STD seconds (Any Network)
