id,cost,talktime,validity,short description,long description
16525,95,,28 days,Recharge of Rs. 95 by Vodafone,"Get 275 FLEX @ Rs. 95 -- Use Calls, Internet, SMS & Roaming with one recharge. How to use FLEX: 1 FLEX = 1 min Local/STD - Vodafone to Vodafone / 1 MB Internet/ 1 SMS; 2 FLEX = 1 min Local/STD - Vodafone to Others/ 1 min Outgoing Roaming T&C Apply"
16526,195,,28 days,Recharge of Rs. 195 by Vodafone,"Get 700 FLEX @ Rs. 195 -- Use Calls, Internet, SMS & Roaming with one recharge. How to use FLEX: 1 FLEX = 1 min Local/STD - Vodafone to Vodafone / 1 MB Internet/ 1 SMS; 2 FLEX = 1 min Local/STD - Vodafone to Others/ 1 min Outgoing Roaming T&C Apply"
16527,296,,28 days,Recharge of Rs. 296 by Vodafone,"Get 1200 FLEX @ Rs. 296 -- Use Calls, Internet, SMS & Roaming with one recharge. How to use FLEX: 1 FLEX = 1 min Local/STD - Vodafone to Vodafone / 1 MB Internet/ 1 SMS; 2 FLEX = 1 min Local/STD - Vodafone to Others/ 1 min Outgoing Roaming T&C Apply"
16528,395,,28 days,Recharge of Rs. 395 by Vodafone,"Get 1750 FLEX @ Rs. 395 -- Use Calls, Internet, SMS & Roaming with one recharge. How to use FLEX: 1 FLEX = 1 min Local/STD - Vodafone to Vodafone / 1 MB Internet/ 1 SMS; 2 FLEX = 1 min Local/STD - Vodafone to Others/ 1 min Outgoing Roaming T&C Apply"
