id,cost,talktime,validity,comments
13981,2,,1 day,All STD+Local Calls @ 20p/Min 
13982,8,,2 days,"Local Onnet @ 15p/min, Local Offnet & STD @35p/min"
13983,9,,1 day,60 Local Reliance to Reliance Mins
13984,12,,28 days,All STD+Local Onnet Calls @ 10p/Min
13985,18,,3 days,"Local Onnet @ 15p/min, Local Offnet & STD @ 35p/min"
13986,21,,28 days,All Local calls @ 1.4p/2sec
13987,29,,28 days,Local mobile calls @ 1.7p/2sec.
13988,32,,21 days,Local mobile calls @ 40p/min
13989,43,,21 days,Local mobile calls @ 35p/min
13990,44,,28 days,All Local calls @25p/Min
13991,48,,28 days,Local Reliance to Reliance Calls @ 15p/minute
13992,51,,28 days,"All Call @ 45p/Minute for Home or Roaming, with free incoming Roaming."
13993,54,,28 days,Local mobile calls @ 35p/min.
13994,55,,7 days,100 minutes for Local and STD Voice calls
13995,62,,28 days,All Calls @30p/Min
13996,97,,90 days,All Local & STD Calls @20p/min
13997,108,,28 days,215 Local & STD Minutes
13998,148,,28 days,250 Local Mins.
