id,cost,talktime,validity,short description,long description
11166,1,,90 days,Recharge of Rs. 1 by Idea,All Local and STD Mobile Calls @30p/min -- Eligible only for new customers within 30 Days -- 
11167,353,,28 days,Recharge of Rs. 353 by Idea,"Unlimited Local/STD Calls -- Unlimited 2G/4G data per day (Speed to reduce @80Kbps post 1GB per day consumption). -- Commercial activity will mean customers using the said product for calling more than 250 mins in a day or 1000 mins in a week. For any customer found violating any of these conditions, local & national tariff @ Rs 0.30/min will be applicable. STV 353 is applicable to new prepaid acquisitions within 30 calendar days from the day of recharge of First Recharge Offer -- This STV should not be used for any commercial activity."
