id,cost,talktime,validity,short description,long description
10763,4,,1 day,Recharge of Rs. 4 by Idea,10 Local Idea Minutes (Pack expiry at 23:59:59 hrs on activation day ) -- Mode of Recharge: Calling on ##4(Toll Free)
10764,9,,2 days,Recharge of Rs. 9 by Idea,Local Mobile calls @30 p/min
10765,16,,28 days,Recharge of Rs. 16 by Idea,"Local Mobile @30 p/m, (1st 2 min of day @ 2p/sec)"
10766,17,,10 days,Recharge of Rs. 17 by Idea,Local Mobile Calls @ 1p/sec
10767,18,,3 days,Recharge of Rs. 18 by Idea,32 Local Mobile Minutes
10768,23,,4 days,Recharge of Rs. 23 by Idea,40 Mins Local Idea Calling free
10769,27,,56 days,Recharge of Rs. 27 by Idea,Local Mobile calls @30 p/min (1st 2 min of day @ 2p/sec)
10770,28,,28 days,Recharge of Rs. 28 by Idea,"Local Idea Calls @ 10p /min,1st 2 min of day @ 2p/sec"
10771,31,,28 days,Recharge of Rs. 31 by Idea,Local Mobile Calls @ 1p/sec
10772,32,,5 days,Recharge of Rs. 32 by Idea,"2,800 Local Mobile seconds"
10773,38,,28 days,Recharge of Rs. 38 by Idea,Local Mobile calls 30p/min
10774,42,,28 days,Recharge of Rs. 42 by Idea,Local Idea Calls @ 10p/min
10775,45,,5 days,Recharge of Rs. 45 by Idea,140 Minutes Local Idea calling
10776,48,,56 days,Recharge of Rs. 48 by Idea,Local Mobile calls@ 1 p/sec
10777,49,,7 days,Recharge of Rs. 49 by Idea,80 Local Mobile Min. calling
10778,57,,56 days,Recharge of Rs. 57 by Idea,Local Mobile Calls @ 30p/Min
10779,58,,30 days,Recharge of Rs. 58 by Idea,All Local and STD Mobile calls 30p/min
10780,71,,84 days,Recharge of Rs. 71 by Idea,Local Mobile Calls @1p/sec
10781,76,,56 days,Recharge of Rs. 76 by Idea,Local Idea Calls @ 10p/min
10782,78,,45 days,Recharge of Rs. 78 by Idea,Local & STD Mobile Calls @ 30p/min
10783,79,,12 days,Recharge of Rs. 79 by Idea,6000 Local Mobile Seconds
10784,88,,10 days,Recharge of Rs. 88 by Idea,300 Min Local Idea Calling
10785,92,,84 days,Recharge of Rs. 92 by Idea,Local Mobile Calls @ 30p/Min
10786,108,,28 days,Recharge of Rs. 108 by Idea,11500 Sec Local Mobile Calling
10787,109,,84 days,Recharge of Rs. 109 by Idea,Local Mobile Call @1.9p/2 seconds
10788,118,,60 days,Recharge of Rs. 118 by Idea,Local & STD Mobile Calls @ 30p/min
10789,129,,14 days,Recharge of Rs. 129 by Idea,500 Min Local Idea calling
10790,144,,27 days,Recharge of Rs. 144 by Idea,13000 to 16000 Local Mobile Seconds
10791,198,,28 days,Recharge of Rs. 198 by Idea,20000 Sec Local Mobile Calling
10792,299,,27 days,Recharge of Rs. 299 by Idea,2700 Local Idea Minutes calling
10793,348,,28 days,Recharge of Rs. 348 by Idea,"Unlimited Local/STD Calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, local & national tariff @ Rs 0.30/min will be applicable -- Get 5% of MRP as Talktime on recharges through My Idea App & Idea Website. -- This STV should not be used for any commercial activity. "
