id,cost,talktime,validity,short description,long description
7563,37,,180 days,Recharge of Rs. 37 by BSNL,"Plan: PerMin_37 -- Reconfirm validity with customer care, as some users mentioned they got only 90 days"
7564,75,,90 days,Recharge of Rs. 75 by BSNL,Plan: Pyari Jodi 75
7565,97,,90 days,Recharge of Rs. 97 by BSNL,"60 minute any net voice call with 30 days validity -- reduced call charges to five friends and family local numbers while in Home LSA . -- On-net@ 20p/Min and Off-net @40p/Min -- SMS charges(Not restricted to F&F members only, but applicable to All) : Local SMS @ 10 p/SMS and STD SMS @ 50 p/sm"
7566,99,,30 days,Recharge of Rs. 99 by BSNL,Plan Migration: Jai_Jawan_99
7567,666,,180 days,Recharge of Rs. 666 by BSNL,BSNL_SIXER_666_migration
