id,cost,talktime,validity,comments
17166,101,,28 days,"Get 275 FLEX @ Rs. 101 -- Use Calls, 2G Internet, SMS & Roaming with one recharge. How to use FLEX: 1 FLEX = 1 min Local/STD - Vodafone to Vodafone / 1 MB 2G Internet/ 1 SMS; 2 FLEX = 1 min Local/STD - Vodafone to Others/ 1 min Outgoing Roaming T&C Apply"
17167,194,,28 days,"Get 700 FLEX @ Rs. 194 -- Use Calls,2G Internet, SMS & Roaming with one recharge. How to use FLEX: 1 FLEX = 1 min Local/STD - Vodafone to Vodafone / 1 MB 2G Internet/ 1 SMS; 2 FLEX = 1 min Local/STD - Vodafone to Others/ 1 min Outgoing Roaming T&C Apply"
17168,293,,28 days,"Get 1200 FLEX @ Rs. 293 -- Use Calls, 2G Internet, SMS & Roaming with one recharge. How to use FLEX: 1 FLEX = 1 min Local/STD - Vodafone to Vodafone / 1 MB 2G Internet/ 1 SMS; 2 FLEX = 1 min Local/STD - Vodafone to Others/ 1 min Outgoing Roaming T&C Apply"
17169,394,,28 days,"Get 1750 FLEX @ Rs. 394 -- Use Calls, 2G Internet, SMS & Roaming with one recharge. How to use FLEX: 1 FLEX = 1 min Local/STD - Vodafone to Vodafone / 1 MB 2G Internet/ 1 SMS; 2 FLEX = 1 min Local/STD - Vodafone to Others/ 1 min Outgoing Roaming T&C Apply"
