id,cost,talktime,validity,comments
1424,12,,3 days,Local Aircel to Aircel calls@20p/min
1425,13,,2 days,All Local calls@30p/min
1426,14,,1 day,"Unlimited Local &STD A2A calls & 30 min of other L/N min, post 30 min @30p/min "
1427,15,,3 days,35 L/N Min
1428,16,,3 days,Local A2A @10p/min and STD/A2O @30p/min
1429,28,,27 days,Local calls @30p
1430,33,,2 days,"200 min Daily Local Aircel calls @ no charge, post @30p/min"
1431,34,,28 days,Local/STD@1p/sec
1432,43,,27 days,Local calls @25p
1433,45,,7 days,90 Loc Min
1434,46,,28 days,200 Local A2A Minutes (100 Day+100 night (11pm to 6am) -- 250 MB 3G/2G Data
1435,49,,27 days,Local A2A @10p
1436,52,,10 days,100 Local Min
1437,55,,27 days,Local/STD calls @30p
1438,56,,84 days,L/N calls@40p/min (post 21 days daily first 2 min@1.75p/sec)
1439,58,,45 days,All Local calls @ 1.75p/2sec.
1440,66,,27 days,Local A2A @10p & Other Local/STD @30p/min
1441,123,,7 days,Ul L/N calls 
1442,148,,56 days,"Local A2A @ 15p/min, Local A2M/A2L @ 1.65p/sec,All STD @ 2p/sec."
1443,203,,28 days,1000 Local Minutes
