id,cost,talktime,validity,short description,long description
10930,8,,28 days,Recharge of Rs. 8 by Idea,STD Mobile @25p/min( First 120 sec @ 2p/sec )
10931,43,,28 days,Recharge of Rs. 43 by Idea,STD Mobile @25p/min 
