id,cost,talktime,validity,short description,long description
11727,6,,3 days,Recharge of Rs. 6 by Idea,STD Mobile @ 30p/Min
11728,16,,28 days,Recharge of Rs. 16 by Idea,All STD mobile calls @35p/min (1st 60 STD sec calls @1.5p/s)
11729,28,,28 days,Recharge of Rs. 28 by Idea,STD Mobile calls @ 35p/Min
11730,38,,28 days,Recharge of Rs. 38 by Idea,STD Mobile calls @ 30p/Min
11731,57,,28 days,Recharge of Rs. 57 by Idea,STD Mobile calls @ 25p/ Min
