id,cost,talktime,validity,short description,long description
18252,10,7.47,N.A,Recharge of Rs. 10 by Vodafone,Talktime of Rs. 7.47 for Rs. 10 recharge by Vodafone
18254,20,14.95,N.A,Recharge of Rs. 20 by Vodafone,Talktime of Rs. 14.95 for Rs. 20 recharge by Vodafone
18255,30,22.42,N.A,Recharge of Rs. 30 by Vodafone,Talktime of Rs. 22.42 for Rs. 30 recharge by Vodafone
18257,40,30.9,N.A,Recharge of Rs. 40 by Vodafone,Talktime of Rs. 30.9 for Rs. 40 recharge by Vodafone
18258,50,39.37,N.A,Recharge of Rs. 50 by Vodafone,Talktime of Rs. 39.37 for Rs. 50 recharge by Vodafone
18260,60,47.85,N.A,Recharge of Rs. 60 by Vodafone,Talktime of Rs. 47.85 for Rs. 60 recharge by Vodafone
18261,70,56.32,N.A,Recharge of Rs. 70 by Vodafone,Talktime of Rs. 56.32 for Rs. 70 recharge by Vodafone
18262,80,64.8,N.A,Recharge of Rs. 80 by Vodafone,Talktime of Rs. 64.8 for Rs. 80 recharge by Vodafone
18263,100,81.75,N.A,Recharge of Rs. 100 by Vodafone,Talktime of Rs. 81.75 for Rs. 100 recharge by Vodafone
18264,150,124.12,N.A,Recharge of Rs. 150 by Vodafone,Talktime of Rs. 124.12 for Rs. 150 recharge by Vodafone
18265,250,240,N.A,Recharge of Rs. 250 by Vodafone,Talktime of Rs. 240 for Rs. 250 recharge by Vodafone
18266,330,276.66,N.A,Recharge of Rs. 330 by Vodafone,Talktime of Rs. 276.66 for Rs. 330 recharge by Vodafone
18267,360,302.08,N.A,Recharge of Rs. 360 by Vodafone,Talktime of Rs. 302.08 for Rs. 360 recharge by Vodafone
18268,510,429.2,N.A,Recharge of Rs. 510 by Vodafone,Talktime of Rs. 429.2 for Rs. 510 recharge by Vodafone
18269,540,454.63,N.A,Recharge of Rs. 540 by Vodafone,Talktime of Rs. 454.63 for Rs. 540 recharge by Vodafone
18270,1010,852.93,N.A,Recharge of Rs. 1010 by Vodafone,Talktime of Rs. 852.93 for Rs. 1010 recharge by Vodafone
18271,1110,937.68,N.A,Recharge of Rs. 1110 by Vodafone,Talktime of Rs. 937.68 for Rs. 1110 recharge by Vodafone
18272,1320,1115.64,N.A,Recharge of Rs. 1320 by Vodafone,Talktime of Rs. 1115.64 for Rs. 1320 recharge by Vodafone
18273,1650,1395.31,N.A,Recharge of Rs. 1650 by Vodafone,Talktime of Rs. 1395.31 for Rs. 1650 recharge by Vodafone
18274,1850,1564.8,N.A,Recharge of Rs. 1850 by Vodafone,Talktime of Rs. 1564.8 for Rs. 1850 recharge by Vodafone
18275,2050,1734.29,N.A,Recharge of Rs. 2050 by Vodafone,Talktime of Rs. 1734.29 for Rs. 2050 recharge by Vodafone
18276,2110,1785.14,N.A,Recharge of Rs. 2110 by Vodafone,Talktime of Rs. 1785.14 for Rs. 2110 recharge by Vodafone
18277,2150,1819.03,N.A,Recharge of Rs. 2150 by Vodafone,Talktime of Rs. 1819.03 for Rs. 2150 recharge by Vodafone
18278,2450,2073.27,N.A,Recharge of Rs. 2450 by Vodafone,Talktime of Rs. 2073.27 for Rs. 2450 recharge by Vodafone
18279,3100,2624.12,N.A,Recharge of Rs. 3100 by Vodafone,Talktime of Rs. 2624.12 for Rs. 3100 recharge by Vodafone
18280,3300,2793.61,N.A,Recharge of Rs. 3300 by Vodafone,Talktime of Rs. 2793.61 for Rs. 3300 recharge by Vodafone
18281,3500,2963.1,N.A,Recharge of Rs. 3500 by Vodafone,Talktime of Rs. 2963.1 for Rs. 3500 recharge by Vodafone
18282,3600,3047.85,N.A,Recharge of Rs. 3600 by Vodafone,Talktime of Rs. 3047.85 for Rs. 3600 recharge by Vodafone
18283,4100,3471.58,N.A,Recharge of Rs. 4100 by Vodafone,Talktime of Rs. 3471.58 for Rs. 4100 recharge by Vodafone
18284,4500,3810.56,N.A,Recharge of Rs. 4500 by Vodafone,Talktime of Rs. 3810.56 for Rs. 4500 recharge by Vodafone
18285,5010,4242.76,N.A,Recharge of Rs. 5010 by Vodafone,Talktime of Rs. 4242.76 for Rs. 5010 recharge by Vodafone
18286,6000,5081.75,N.A,Recharge of Rs. 6000 by Vodafone,Talktime of Rs. 5081.75 for Rs. 6000 recharge by Vodafone
18287,6500,5505.47,N.A,Recharge of Rs. 6500 by Vodafone,Talktime of Rs. 5505.47 for Rs. 6500 recharge by Vodafone
18288,7000,5929.2,N.A,Recharge of Rs. 7000 by Vodafone,Talktime of Rs. 5929.2 for Rs. 7000 recharge by Vodafone
18289,10000,8471.58,N.A,Recharge of Rs. 10000 by Vodafone,Talktime of Rs. 8471.58 for Rs. 10000 recharge by Vodafone
