id,cost,talktime,validity,comments
10101,14,,60 days,All Local & STD Calls @ 1p/Sec
10102,24,,27 days,All Local Calls @30p/min
10103,28,,4 days,40 STD & Local Minutes
10104,29,,27 days,Local idea call @10p/min
10105,33,,27 days,All Local + STD Calls @ 30p/Min
10106,35,,3 days,250 Local I2I Minutes
10107,49,,7 days,150 Local + STD Minutes
10108,69,,7 days,250 Local + STD Minutes
10109,75,,10 days,250 Local + STD Minutes
10110,88,,84 days,All Local & STD Calls @ 1p/Sec
10111,97,,27 days,170 Local Mobile Minutes
10112,99,,21 days,16000 Local + STD Sec
10113,107,,27 days,16000 Local+ STD Seconds
10114,108,,27 days,8600 Local STD Seconds
10115,109,,27 days,175 local and STD Minutes
10116,149,,7 days,13000 Local + National + Roaming Outgoing Seconds -- In Roaming Local & STD Outgoing Calls applicable on Idea networks Only
10117,195,,28 days,33000 Local Idea to Idea seconds
10118,196,,7 days,"Unlimited Local/STD calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable -- This STV should not be used for any commercial activity."
10119,197,,7 days,20000 Local + National + Roaming Outgoing Seconds -- In Roaming Local & STD Outgoing Calls applicable on Idea networks Only
10120,199,,27 days,35000 Local + STD Seconds -- 121 DT (30 days) on auto-deactivation. If customer changes his tone during the free period will be shifted on paid DT platform and charged with Rs.39/month immediately
10121,207,,27 days,36000 Local + STD Seconds
10122,292,,7 days,"Unlimited Local/STD calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable. -- This STV should not be used for any commercial activity. "
10123,298,,27 days,150000 Local idea seconds
10124,299,,27 days,50000 Local+ STD Secs
