id,cost,talktime,validity,comments
18229,118,,28 days,"Get 325 FLEX @ Rs. 118 -- Use Calls, Internet, SMS & Roaming with one recharge. How to use FLEX: 1 FLEX = 1 min Local/STD - Vodafone to Vodafone / 1 MB Internet/ 1 SMS; 2 FLEX = 1 min Local/STD - Vodafone to Others/ 1 min Outgoing Roaming T&C Apply"
18230,194,,28 days,"Get 700 FLEX @ Rs. 194 -- Use Calls, Internet, SMS & Roaming with one recharge. How to use FLEX: 1 FLEX = 1 min Local/STD - Vodafone to Vodafone / 1 MB Internet/ 1 SMS; 2 FLEX = 1 min Local/STD - Vodafone to Others/ 1 min Outgoing Roaming T&C Apply"
18231,292,,28 days,"Get 1200 FLEX @ Rs. 292 -- Use Calls, Internet, SMS & Roaming with one recharge. How to use FLEX: 1 FLEX = 1 min Local/STD - Vodafone to Vodafone / 1 MB Internet/ 1 SMS; 2 FLEX = 1 min Local/STD - Vodafone to Others/ 1 min Outgoing Roaming T&C Apply"
18232,396,,28 days,"Get 1750 FLEX @ Rs. 396 -- Use Calls, Internet, SMS & Roaming with one recharge. How to use FLEX: 1 FLEX = 1 min Local/STD - Vodafone to Vodafone / 1 MB Internet/ 1 SMS; 2 FLEX = 1 min Local/STD - Vodafone to Others/ 1 min Outgoing Roaming T&C Apply"
