id,cost,talktime,validity,short description,long description
4698,12,,90 days,Recharge of Rs. 12 by Airtel,"Local & STD mobile calls @2p/sec, Landline calls @2.5p/sec -- Applicable only for new subscribers as FRC/SRC"
4699,13,,180 days,Recharge of Rs. 13 by Airtel,1GB/day for 180 days. Only for new customers on FR of 293/449 -- Applicable only for new subscribers as FRC/SRC
4700,51,16,90 days,Recharge of Rs. 51 by Airtel,Local & STD mobile calls @1.5p/sec and LL @2.5p/sec -- 10 MB 3G/4G data -- Applicable only for new subscribers as FRC/SRC
4701,95,60,90 days,Recharge of Rs. 95 by Airtel,Local & STD mobile calls @1.5p/sec and LL @2.5p/sec -- Applicable only for new subscribers as FRC/SRC
4702,123,90,90 days,Recharge of Rs. 123 by Airtel,Local & STD mobile calls @1.5p/sec and LL @2.5p/sec -- Applicable only for new subscribers as FRC/SRC
4703,146,,27 days,Recharge of Rs. 146 by Airtel,2 GB DATA --  A2A FREE CALLS L+N ONNET  -- Applicable only for new subscribers as FRC/SRC
4704,293,,84 days,Recharge of Rs. 293 by Airtel,4G handset with 4G SIM: Unlimited Local + STD Airtel mobile -- 1 GB/day Data (84 days)Other handset: Unlimited Local + STD -- 2 GB Data (35 days). T&C apply. -- Applicable only for new subscribers as FRC/SRC
4705,351,,30 days,Recharge of Rs. 351 by Airtel,1.5 GB 3G Data -- Applicable only for new subscribers as FRC/SRC
4706,449,,84 days,Recharge of Rs. 449 by Airtel,4G handset with 4G SIM: Unlimited All Local + STD -- 1 GB day Data (84days).Other handset: Unlimited All Local + STD -- 2 GB Data (35 days) -- T&C apply. -- Applicable only for new subscribers as FRC/SRC
4707,1494,,90 days,Recharge of Rs. 1494 by Airtel,15 GB 3G Data -- Unlimited internet on My Airtel App: only for 4G Handsets. 64 Kbps speed post 30 GB Data -- Data share & Cash back does not apply -- Applicable only for new subscribers as FRC/SRC
