id,cost,talktime,validity,comments
16622,7,,1 hour,Unlimited V2V Local 
16623,15,,28 days,100 mins to Vodafone(10pm-8am)
16624,26,,28 days,260 mins to Vodafone mobile(10pm to 8am)
16625,29,,28 days,Local calls to vodafone mobile@40P/Min
16626,42,,28 days,Local calls to Mobile @ 40p/min
16627,43,,28 days,All local calls @30P/Min 
16628,55,,28 days,Local Vodafone to Vodafone calls @10P/Min 
16629,57,,30 days,"All outgoing mobile calls (Local, STD & Roaming) @1p/sec -- Pack tariff benefits apply in Tamil Nadu and while roaming anywhere in India"
16630,59,,28 days,Local calls to vodafone mobile @ 30p/min
16631,69,,28 days,Local calls to Mobile @ 35P/Min
16632,74,,28 days,Local calls to Vodafone mobile @10P/Min & other mobile @30P/Min for 28 days
16633,76,,60 days,All local calls @30P/Min 
16634,82,,28 days,Local calls to vodafone mobile @ 20p/min
16635,86,,90 days,All local calls @30P/Min 
16636,88,,28 days,Local/STD calls to mobile @ 35p/min
16637,125,,90 days,Local Vodafone to Vodafone calls at 10P/Min 
16638,133,,28 days,Local calls to vodafone @15P/Min & mobile @ 35P/Min.
16639,134,,60 days,Local calls to Vodafone mobile @10P/Min & other mobile @30P/Min
16640,169,,84 days,Local calls to Mobile @ 35P/Min
16641,184,,90 days,Local calls to Vodafone mobile @10P/Min & other mobile @30P/Min
