id,cost,talktime,validity,short description,long description
21513,19,,1 day,Recharge of Rs. 19 by Jio,Prime: 200 MB Data Non-Prime: 100 MB Data -- Unlimited Local/STD & roaming calls to any network in India -- 100 Local/National & roaming SMS to any network in India -- Complimentary subscription of Jio apps
21514,49,,3 days,Recharge of Rs. 49 by Jio,Prime: 600 MB Data Non-Prime: 300 MB Data -- Unlimited Local/STD & roaming calls to any network in India -- 100 Local/National & roaming SMS to any network in India -- Complimentary subscription of Jio apps
21515,96,,7 days,Recharge of Rs. 96 by Jio,"Prime: Unlimited Data (Post 1GB High Speed Data per day, speed will throttle to 128Kbps)Non-Prime: 600 MB Data -- Unlimited Local/STD & roaming calls to any network in India -- 100 Local/National & roaming SMS to any network in India -- Complimentary subscription of Jio apps"
21516,149,,28 days,Recharge of Rs. 149 by Jio,2 GB 4G Data -- Unlimited Local/STD & roaming calls to any network in India -- 300 Local/National & roaming SMS to any network in India -- Free subscription of Jio apps -- Available for Jio Prime customers only
21517,309,,56 days,Recharge of Rs. 309 by Jio,"56 GB Data (1 GB/day), Post 1 GB/day unlimited data at 128 kbps -- Unlimited voice: Local/STD, Roaming for all operators -- SMS: Unlimited Local/STD, Roaming SMS to all operators -- Free subscription of Jio apps -- Available for Jio Prime customers only"
21518,349,,56 days,Recharge of Rs. 349 by Jio,"20 GB Data, Post 20 GB unlimited data at 128 kbps -- Unlimited voice: Local/STD, Roaming for all operators -- SMS: Unlimited Local/STD, Roaming SMS to all operators -- Free subscription of Jio apps -- Available for Jio Prime customers only"
21519,399,,84 days,Recharge of Rs. 399 by Jio,"84 GB Data (1 GB/day), Post 1 GB/day unlimited data at 128 kbps -- Unlimited voice: Local/STD, Roaming for all operators -- SMS: Unlimited Local/STD, Roaming SMS to all operators -- Free subscription of Jio apps -- Available for Jio Prime customers only"
21520,509,,56 days,Recharge of Rs. 509 by Jio,"112 GB Data (2 GB/day), Post 2 GB/day unlimited data at 128 kbps -- Unlimited voice: Local/STD, Roaming for all operators -- SMS: Unlimited Local/STD, Roaming SMS to all operators -- Free subscription of Jio apps -- Available for Jio Prime customers only"
21521,999,,90 days,Recharge of Rs. 999 by Jio,"90 GB Data, Post 90 GB Unlimited data at 128 kbps -- Unlimited Local/STD & roaming calls to any network in India -- Unlimited Local/National & roaming SMS to any network in India -- Free subscription of Jio apps -- Available for Jio Prime customers only"
21522,1999,,120 days,Recharge of Rs. 1999 by Jio,"155 GB Data, Post 155 GB Unlimited data at 128 Kbps -- Unlimited Local/STD & roaming calls to any network in India -- Unlimited Local/National & roaming SMS to any network in India -- Free subscription of Jio apps -- Available for Jio Prime customers only"
21523,4999,,210 days,Recharge of Rs. 4999 by Jio,"380 GB Data, Post 380 GB Unlimited data at 128 Kbps -- Unlimited Local/STD & roaming calls to any network in India -- Unlimited Local/National & roaming SMS to any network in India -- Free subscription of Jio apps -- Available for Jio Prime customers only"
21524,9999,,390 days,Recharge of Rs. 9999 by Jio,"780 GB Data, Post 780 GB Unlimited data at 128 Kbps -- Unlimited Local/STD & roaming calls to any network in India -- Unlimited Local/National & roaming SMS to any network in India -- Free subscription of Jio apps -- Available for Jio Prime customers only"
