id,cost,talktime,validity,comments
5427,8,,30 days,On-net (Local/STD) calls @15 paisa/min + Off-net (Local/STD) calls @35 paisa/min
5428,19,,90 days,On-net (Local/STD)calls @15 paisa/min + Off-net (Local/STD) calls @35 paisa/min
5429,25,,15 days,Local/STD/On-net/Off-net Calls @25p/minute
5430,30,,1 day,72 mins LOCAL AND STD CALLS ONNET
5431,44,,25 days,Local call any-net calls @1.4p/2 sec
5432,47,,21 days,Local onnet calls @ 20ps/min
5433,61,,8 days,5600 Sec Local or STD to any network
5434,69,,30 days,Local call-any net at 1p per 2 sec
5435,122,,75 days,Local any net 1.4P per 2Sec
5436,135,,28 days,275 min to any network (Local/STD)
5437,159,,28 days,20300 Seconds Local/STD Voice Calls Anynet
5438,181,,30 days,23800 Sec Local/STD Voice Calls to Any N/w
5439,359,,60 days,Free 52000 Secs to Any Network Local and STD Calls
5440,449,,84 days,1400 min. Local/STD any net
5441,574,,27 days,Unlimited Local On-net call & 500 Min free Local/STD calls Anynet
5442,699,,28 days,UNLIMITED LOCAL or STD ONNET CALLS
5443,894,,81 days,Unlimited Local OnNet calls
5444,1494,,81 days,Unlimited Local Onnet call and 1500 Min free Local or STD calls Any net
