id,cost,talktime,validity,comments
655,16,,3 days,125 MB 2G Data
656,27,,5 days,180 MB 2G Data
657,28,,21 days,150 MB 2G Day (6 am - 11:59 pm) + 130 MB 2G Night (12 am to 5:59 am)
658,34,,28 days,100 MB 2G/day
660,91,,28 days,2 GB 2G/Day Data
